Building Name,Archetype,Footprint Area,Calculated Footprint Area,Floor Count,Height,WWR,Coordinate Count,Centroid X,Centroid Y,Coordinate_1,Coordinate_2,Coordinate_3,Coordinate_4,Coordinate_5,Coordinate_6,Coordinate_7,Coordinate_8,Coordinate_9,Coordinate_10,Coordinate_11,Coordinate_12,Coordinate_13,Coordinate_14,Coordinate_15,Coordinate_16,Coordinate_17,Coordinate_18,Coordinate_19,Coordinate_20,Coordinate_21,Coordinate_22,Coordinate_23,Coordinate_24,Coordinate_25,Coordinate_26,Coordinate_27,Coordinate_28,Coordinate_29,Coordinate_30,Coordinate_31,Coordinate_32,Coordinate_33,Coordinate_34,Coordinate_35,Coordinate_36,Coordinate_37,Coordinate_38,Coordinate_39,Coordinate_40,Coordinate_41,Coordinate_42,Coordinate_43,Coordinate_44,Coordinate_45,Coordinate_46,Coordinate_47,Coordinate_48,Coordinate_49,Coordinate_50,Coordinate_51,Coordinate_52,Coordinate_53,Coordinate_54,Coordinate_55,Coordinate_56,Coordinate_57,Coordinate_58,Coordinate_59,Coordinate_60,Coordinate_61,Coordinate_62
Kadın Sığınma Evi,Huzurevi,469.4465709717869,469.4465709717915,3,9.0,0.134,17,78.0781950281168,-190.21845102749705,"(62.61574500775896, -181.82562972418964)","(60.95407134958077, -193.93490417581052)","(66.72734217357356, -194.71566951368004)","(66.49478014127817, -196.31049846392125)","(75.47483815136366, -197.51938748825341)","(75.32204643369187, -198.60520608816296)","(78.58119186933618, -198.97288990858942)","(78.74384398467373, -197.7602666420862)","(87.67039417638443, -199.14727586880326)","(87.88288150413428, -197.64378742408007)","(93.68375277076848, -198.44181538000703)","(95.20143826364074, -186.5039837313816)","(89.59660566155799, -185.6051634280011)","(89.70440382149536, -184.0774575760588)","(68.60345961560961, -181.16587722767144)","(68.44530658319127, -182.67250445578247)","(62.61574500775896, -181.82562972418964)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şefkat Sitesi,Huzurevi,725.6684235538874,725.6684235538123,6,18.0,0.134,39,78.65692621802117,185.21550294895664,"(62.79710707254708, 196.56824108958244)","(64.06913111801259, 187.30941945593804)","(63.46671433234587, 187.19566747080535)","(64.60374918568414, 178.9303442146629)","(65.1520528747933, 179.029022725299)","(66.42776899191085, 169.94802114088088)","(73.88085839827545, 171.1436037272215)","(73.83414853701834, 172.08969666343182)","(77.234550603549, 172.62535150907934)","(77.16064977436326, 173.71638853941113)","(83.12619306484703, 174.54368829820305)","(83.30211168876849, 173.5469987327233)","(86.81380684510805, 174.01764561794698)","(86.99565496470314, 172.9709349842742)","(90.8717132860329, 173.59376776963472)","(90.92897766293027, 173.2083265259862)","(94.59340855607297, 173.7474457686767)","(94.17063242197037, 176.74551951885223)","(93.86803412705194, 176.65908658504486)","(93.48128603876103, 179.51711066439748)","(93.78999314981047, 179.5537379430607)","(93.37067898502573, 182.89370202738792)","(93.7691243843874, 182.974229731597)","(92.75763106707018, 191.45278528891504)","(92.15752447920386, 191.41175010427833)","(90.87353963311762, 200.46525141131133)","(87.29257908498403, 200.02444546390325)","(87.32126146228984, 199.67904743831605)","(83.16831487545278, 199.17077348008752)","(83.27731985691935, 198.42691581323743)","(79.76969953207299, 197.965623838827)","(79.99965466780122, 196.6834366042167)","(74.15762945450842, 195.83697256166488)","(73.98701448377687, 196.9705192949623)","(70.53747863369063, 196.39715247228742)","(70.41324901138432, 197.3453918909654)","(66.5288103937637, 196.8497358309105)","(66.53041235147975, 197.10032191872597)","(62.79710707254708, 196.56824108958244)",,,,,,,,,,,,,,,,,,,,,,,
Zümrüt Sitesi,Huzurevi,668.8740822041124,668.874082204112,3,9.0,0.1,28,130.82669628014057,-0.3840178858914367,"(145.1211550430162, -13.42956989724189)","(144.8409804000985, -5.2456555385142565)","(142.98966017353814, -5.3522861283272505)","(142.95007452368736, 5.485500645823777)","(144.91971792513505, 5.578781859949231)","(144.91054475249257, 13.72018028050661)","(134.4328966483008, 13.437637687660754)","(134.63706748746336, 5.538068781606853)","(132.7838254525559, 5.499001127667725)","(132.80026634165552, 11.112745118327439)","(128.58882062428165, 11.002470618113875)","(128.65558662370313, 5.425001642666757)","(126.78612797963433, 5.368584259413183)","(126.6952917019371, 13.42332215514034)","(116.61877082393039, 13.254015265963972)","(116.60088442708366, 4.892576849088073)","(118.53885963407811, 4.9173412481322885)","(118.61887241783552, 3.077714366838336)","(118.90650971932337, -3.5353167057037354)","(118.97678552055731, -5.149753511883318)","(116.6693533170037, -5.219428842887282)","(116.89424983330537, -13.809450643137097)","(126.92211463768035, -13.709251292981207)","(126.9128118265653, -11.720314796082675)","(134.95059594663326, -11.595842115581036)","(134.9797570714727, -13.685146070085466)","(138.6597239272669, -13.59233262669295)","(145.1211550430162, -13.42956989724189)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çınar Sitesi,Huzurevi,689.9779096305912,689.9779096305138,3,9.0,0.1,52,-169.51398772640366,-99.58298827317654,"(-169.3047178442357, -117.445357080549)","(-168.48213851766195, -113.25009153131396)","(-170.42191200715024, -112.92533131688833)","(-170.20103627431672, -111.17102294415236)","(-168.31291205936577, -111.4427310442552)","(-167.64898724644445, -107.43481461890042)","(-174.40247476729564, -106.1964686466381)","(-173.93315719312523, -103.44929937180132)","(-167.9894754216075, -104.4611373571679)","(-166.96095166553278, -98.31598318740726)","(-172.7928040685365, -97.2276577623561)","(-172.36848185770214, -94.50465600285679)","(-158.97934574866667, -96.84812976326793)","(-159.77974964445457, -100.72766405530274)","(-155.47439860750455, -101.57446579355747)","(-154.98954720248003, -97.52628172934055)","(-147.0216674002586, -98.93802215810865)","(-145.00747089565266, -87.03697543498129)","(-149.01838737470098, -86.26810126565397)","(-149.35526557429694, -88.26292248442769)","(-153.0768291958375, -87.55833948031068)","(-152.6876772439573, -85.63476224895567)","(-156.812108072103, -84.88759266585112)","(-157.27543505339418, -86.7723018201068)","(-160.89025574421976, -86.12828840035945)","(-160.75711238605436, -84.18508839141577)","(-164.88318595779128, -83.37854532245547)","(-165.63935797777958, -87.35741450078785)","(-169.8449655690929, -86.63545033801347)","(-169.84088506060652, -86.6260964712128)","(-169.2175155810546, -83.08022204507142)","(-175.2320256412495, -81.99298607651144)","(-176.50447474664543, -89.5826806044206)","(-174.8051231970312, -89.9513213885948)","(-174.80536823533475, -89.95573757309467)","(-175.50119280000217, -94.0369773907587)","(-176.21659481478855, -98.22976326290518)","(-179.33278851828072, -97.62545072846115)","(-179.71625579800457, -100.8036938989535)","(-176.74287389754318, -101.35748420655727)","(-177.61061050288845, -105.57209921441972)","(-191.39670390286483, -102.92129363585263)","(-192.10105664655566, -107.10368572175503)","(-190.07854151562788, -107.44882413931191)","(-190.39901904319413, -109.37944224756211)","(-192.40167276049033, -108.94257965963334)","(-193.0639506581938, -113.15575279574841)","(-183.24717642075848, -114.90857417136431)","(-184.0441826833412, -118.89305427856743)","(-179.80915488500614, -119.52755636442453)","(-179.21907918993384, -115.63584310282022)","(-169.3047178442357, -117.445357080549)",,,,,,,,,,
Apart B,Otel,138.86733164393422,138.8673316439308,3,9.0,0.061,13,-127.3895242152821,-55.56889497645691,"(-132.3625876903534, -49.697452982887626)","(-131.1580142773455, -53.62716339062899)","(-135.0658206799999, -54.799367079511285)","(-133.25142758176662, -60.490669406950474)","(-129.4338681626832, -59.35337680205703)","(-128.31613028608263, -63.12598942872137)","(-120.68969401449431, -60.860508704558015)","(-122.2561367880553, -55.21652306616306)","(-121.12818532565143, -54.78996347356588)","(-121.69205282162875, -52.73483904451132)","(-122.94607196352445, -53.07388444431126)","(-124.6147196139209, -47.52424725610763)","(-132.3625876903534, -49.697452982887626)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İdari Bina A Blok,Ofis,335.23580135009144,335.2358013500925,3,9.0,0.245,25,-45.81063830640786,-107.97109582948246,"(-46.56796895933803, -96.9647454591468)","(-51.353840316762216, -94.96863083448261)","(-54.47171125863679, -102.48725942336023)","(-51.68208088900428, -103.68010568711907)","(-52.809785989811644, -106.36764047853649)","(-55.66805619269144, -105.16315158363432)","(-58.80423085880466, -112.6732187345624)","(-53.99838208395522, -114.73227814678103)","(-52.874136958271265, -111.92658746149391)","(-50.10926650511101, -113.05664482712746)","(-51.38503395207226, -115.80310982931405)","(-50.5884714522399, -116.13932921551168)","(-46.52907224162482, -117.85324471257627)","(-39.40036146854982, -120.86284135933965)","(-37.39989091223106, -116.22690373566002)","(-42.010321917710826, -114.3166038505733)","(-41.52274700254202, -113.17846269719303)","(-40.07650980283506, -109.80261414311826)","(-39.620244995341636, -108.73738310486078)","(-35.033129906049, -110.62127179745585)","(-31.9615728094941, -103.22228140942752)","(-36.480208970140666, -101.19998402707279)","(-37.23147230618633, -103.10838185343891)","(-47.27343908790499, -98.88977858889848)","(-46.56796895933803, -96.9647454591468)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apart A,Otel,138.49375756418348,138.49375756418885,3,9.0,0.061,13,-115.58449756109901,-75.38731198376723,"(-124.22013594559394, -76.09178313240409)","(-118.88605213642586, -82.2560764933005)","(-115.80445526610129, -79.6458825673908)","(-113.26251858472824, -82.59274392854422)","(-108.74682581389789, -78.84490941651165)","(-111.27762796287425, -75.82021465525031)","(-108.17826766322833, -73.19139542430639)","(-113.38531717250589, -67.16021222434938)","(-117.94825824699365, -71.00053083058447)","(-118.80475030490197, -69.96839463803917)","(-120.30689204204828, -71.11717969737947)","(-119.53301880229264, -72.28401900734752)","(-124.22013594559394, -76.09178313240409)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevgi Sitesi,Huzurevi,1689.5522039835369,1689.5522039835378,3,9.0,0.2,61,10.656580896576145,62.48833226119689,"(9.998768333694898, 99.63786021340638)","(6.1425586855039, 90.28329273033887)","(10.54264090966899, 88.24030228611082)","(10.78036890400108, 87.7684207893908)","(9.043769536423497, 83.62399742659181)","(4.221926982048899, 85.7409262303263)","(0.16450694401282817, 76.55834078136832)","(11.462304390384816, 71.48482681345195)","(11.104773844359443, 70.93565552309155)","(11.339672439382412, 70.86068628542125)","(9.899012312060222, 67.49142570607364)","(9.594075007364154, 67.4731466639787)","(3.183726062765345, 70.37235761340708)","(0.0018244697712361813, 63.02279569488019)","(6.350814034114592, 60.185524995438755)","(6.46713072899729, 59.65983337722719)","(5.116748535074294, 56.475978553295135)","(4.858165958081372, 56.58215844538063)","(4.723913597874343, 56.03985905461013)","(-6.4741576466476545, 61.134622919373214)","(-10.563155407668091, 51.63638012111187)","(-6.011820642510429, 49.71646366175264)","(-5.9248523488640785, 49.40428178105503)","(-7.659615165088326, 45.20048824790865)","(-8.074373724055476, 45.338518363423645)","(-12.535763209569268, 47.30215143226087)","(-16.504950455855578, 38.06757174059749)","(-7.179637358640321, 33.95622623898089)","(-7.334311883780174, 33.64134263433516)","(-5.131487389211543, 32.754320953041315)","(-6.4099406495224684, 29.905711899511516)","(-2.647334860288538, 28.431735573336482)","(-1.5627979688579217, 31.042157232761383)","(9.418020625715144, 26.31813877262175)","(10.019635925185867, 26.059256504289806)","(10.032408471801318, 26.089308883994818)","(14.014760795631446, 35.49984621908516)","(9.29256036807783, 37.483132178895175)","(11.232949378783815, 41.9805393954739)","(15.877673487528227, 39.83530470263213)","(20.04361515934579, 49.208117541857064)","(15.965112527133897, 51.02382273878902)","(17.626267886022106, 54.94694873690605)","(24.29126049845945, 52.07370050251484)","(27.442881678696722, 59.5182638335973)","(20.003495499724522, 62.8105366518721)","(19.0050754097756, 60.36716158501804)","(17.23018085642252, 61.134611774235964)","(19.553289578296244, 67.00309365801513)","(20.287358038243838, 67.47235038783401)","(26.719246818334796, 64.6103094117716)","(30.665528236422688, 73.85330669116229)","(26.024120579473674, 75.88459270820022)","(27.93393257400021, 80.48580877669156)","(32.57042162457947, 78.46375659573823)","(36.63122564239893, 87.68748127762228)","(25.066612184396945, 92.99016210343689)","(26.36178678169381, 95.57941186986864)","(22.62847073620651, 97.2959188632667)","(21.53271335340105, 94.59866797365248)","(9.998768333694898, 99.63786021340638)",
Fizik Tedavi,Saglik Merkezi,404.232764470099,404.23276447009994,2,6.0,0.429,13,43.582207388401706,-152.45867762183633,"(40.17186806641985, -137.5424825483933)","(32.04465335060377, -148.89656643662602)","(35.90010102186352, -151.57619646377861)","(28.349150503170677, -162.56229149363935)","(31.815973095712252, -164.73439762927592)","(37.61624474613927, -156.6967715891078)","(47.306713942671195, -163.37575906142592)","(49.15508688893169, -160.95260025653988)","(53.288260085042566, -163.78297543060035)","(58.89329970511608, -155.7648662896827)","(49.27917242201511, -148.89676625095308)","(51.40128150081728, -145.58213654905558)","(40.17186806641985, -137.5424825483933)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papatya Sitesi,Huzurevi,670.8472966581825,670.847296658183,3,9.0,0.1,18,34.03090219862136,-83.94274757408954,"(31.316235376987606, -78.97419613134116)","(34.42254313954618, -71.56160950474441)","(25.198404839728028, -67.45377308689058)","(15.751887426828034, -89.82739279232919)","(25.0159426034661, -93.60607451852411)","(26.059692956856452, -91.20636421255767)","(32.34700032742694, -93.53550222050399)","(32.188379287021235, -93.86352530587465)","(34.308680986985564, -94.70155689213425)","(33.23525362089276, -97.32079648412764)","(42.38446712936275, -101.21669235918671)","(51.73041615146212, -78.97359403781593)","(40.616663778200746, -74.12566106021404)","(41.77899249957409, -71.70606673322618)","(37.380194317316636, -69.70605990476906)","(35.06655708223116, -74.95348834618926)","(33.133083217195235, -79.71639527473599)","(31.316235376987606, -78.97419613134116)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
