Batch Size,LSTM Output Size,MLP Output Size,Joint Hidden1 Size,Joint Hidden2 Size,Epochs,Learning Rate,Early Stopping,Dropout,Validation Loss,Validation MSE,Validation MAE,Validation MAPE,Validation R2,Validation CV-RMSE
2880,96,64,96,64,150,5.00E-05,Yes,0.15,56.02339554,53.476204,1.7155486,0.1758631,0.991504048,0.09478641
2880,96,64,96,64,200,5.00E-05,Yes,0.15,58.90562439,54.17452,1.5186591,0.16762373,0.991393102,0.09540328
2880,96,64,96,64,250,5.00E-05,Yes,0.15,62.04275513,51.91074,1.3461101,0.13752167,0.991752758,0.093388714
2880,96,64,96,64,300,5.00E-05,Yes,0.15,63.145401,54.474506,1.4453944,0.14333002,0.991345445,0.095667064
2880,96,96,96,64,150,5.00E-05,Yes,0.15,56.79667664,54.04733,1.7392856,0.16066276,0.991413311,0.09529122
2880,96,96,96,64,200,5.00E-05,Yes,0.15,59.09098434,54.05278,1.5630133,0.1687624,0.991412446,0.095296025
2880,96,96,96,64,250,5.00E-05,Yes,0.15,54.75283051,53.51911,1.4328512,0.14475232,0.991497232,0.094824426
2880,96,96,96,64,300,5.00E-05,Yes,0.15,59.86079025,55.56545,1.6223595,0.19253986,0.991172122,0.09662026
2880,128,64,96,64,150,5.00E-05,Yes,0.15,54.0107193,53.98453,1.6655427,0.16144495,0.991423287,0.09523585
2880,128,64,96,64,200,5.00E-05,Yes,0.15,57.37122345,54.740154,1.665168,0.15587014,0.991303237,0.09590004
2880,128,64,96,64,250,5.00E-05,Yes,0.15,59.5773735,54.26949,1.6224412,0.16134292,0.991378016,0.095486864
2880,128,64,96,64,300,5.00E-05,Yes,0.15,54.79291153,52.595825,1.3352002,0.15322302,0.991643918,0.09400293
2880,128,96,96,64,150,5.00E-05,Yes,0.15,54.1105423,53.66342,1.5292466,0.15250237,0.991474304,0.09495218
2880,128,96,96,64,200,5.00E-05,Yes,0.15,54.2606926,53.22661,1.4360812,0.15958989,0.991543702,0.094564945
2880,128,96,96,64,250,5.00E-05,Yes,0.15,55.74787903,54.217995,1.5449449,0.18270993,0.991386197,0.09544156
2880,128,96,96,64,300,5.00E-05,Yes,0.15,61.85371399,53.78549,1.6062603,0.16689914,0.99145491,0.09506012
2880,96,64,96,64,150,0.00005,No,0.15,56.86939621,56.86937,2.6789973,0.18964668,0.990964961,0.09774735
2880,96,64,96,64,200,0.00005,No,0.15,54.92417145,54.92418,2.4096482,0.13963428,0.991274003,0.0960611
2880,96,64,96,64,250,0.00005,No,0.15,49.90303802,49.903038,1.8611481,0.22515649,0.992071729,0.091564946
2880,96,64,96,64,300,0.00005,No,0.15,48.44017029,48.44019,1.9671804,0.1652323,0.992304137,0.09021291
2880,96,96,96,64,150,0.00005,No,0.15,61.63014984,61.630135,3.369119,0.2231638,0.990208603,0.10175654
2880,96,96,96,64,200,0.00005,No,0.15,49.39691544,49.39692,1.5999545,0.20889637,0.992152137,0.09109944
1440,96,64,96,64,150,0.0005,No,0,18.34440041,18.344404,1.4854383,0.13040844,0.99708556,0.055515923
1440,96,64,96,64,200,0.0005,No,0,12.89453697,12.89454,0.6204125,0.042982746,0.997951399,0.046544537
1440,96,64,96,64,250,0.0005,No,0,11.86363029,11.863633,0.5050295,0.06014017,0.998115183,0.044645183
1440,96,64,96,64,300,0.0005,No,0,15.43540287,15.435406,1.0042329,0.067637525,0.997547723,0.05092427
1440,96,96,96,64,150,0.0005,No,0,16.9721756,16.972183,0.58892816,0.078205355,0.99730357,0.053399187
1440,96,96,96,64,200,0.0005,No,0,26.67178535,26.671785,0.459615,0.04312196,0.99576256,0.06694094
1440,96,96,96,64,250,0.0005,No,0,22.28851318,22.288515,0.41288856,0.031094318,0.996458946,0.061193645
1440,96,96,96,64,300,0.0005,No,0,37.70321655,37.70322,0.40244356,0.033451594,0.994009958,0.07958936
1440,96,64,96,64,150,0.0002,No,0,54.09040833,54.09040833,0.975094199,0.107139342,0.991406441,0.095329191
1440,96,64,96,64,200,0.0002,No,0,38.221138,38.22112656,0.537424505,0.064346686,0.993927658,0.080134129
1440,96,64,96,64,250,0.0002,No,0,20.35128975,20.35128212,0.765885115,0.093104042,0.996766746,0.058473847
1440,96,64,96,64,300,0.0002,No,0,29.44955444,29.44954872,0.469543099,0.049001902,0.995321274,0.070340443
1440,96,96,96,64,150,0.0002,No,0,54.5205574,54.52054214,1.43990159,0.141555548,0.991338134,0.095707476
1440,96,96,96,64,200,0.0002,No,0,26.25376892,26.25376701,0.677733481,0.059820514,0.995828986,0.066414299
1440,96,96,96,64,250,0.0002,No,0,41.41294479,41.41294479,0.430011094,0.041446153,0.993420601,0.083413018
1440,96,96,96,64,300,0.0002,No,0,18.18527222,18.18527222,0.431693256,0.048102412,0.997110844,0.055274609
1440,128,64,96,64,150,0.0002,No,0,39.64538574,39.64539337,0.750292838,0.069479913,0.993701398,0.081613527
1440,128,64,96,64,200,0.0002,No,0,35.05905914,35.05907822,0.615906477,0.074241683,0.994430065,0.076747816
1440,128,64,96,64,250,0.0002,No,0,15.63449192,15.63449669,0.620233178,0.04347305,0.997516096,0.051251636
1440,128,64,96,64,300,0.0002,No,0,22.70087433,22.70086479,0.662555575,0.060553085,0.996393442,0.061757112
1440,128,96,96,64,150,0.0002,No,0,40.60454178,40.60454559,0.658945858,0.077602573,0.993548989,0.082594876
1440,128,96,96,64,200,0.0002,No,0,26.6730938,26.6730938,0.784569561,0.126806483,0.995762348,0.066942584
1440,128,96,96,64,250,0.0002,No,0,21.31485748,21.31485176,0.596304119,0.058949333,0.996613622,0.059842115
1440,128,96,96,64,300,0.0002,No,0,16.5218544,16.52185059,0.531035841,0.045499969,0.997375131,0.052685987
1440,96,96,96,64,350,0.0002,No,0,20.96843147,20.96842194,0.50051713,0.050952617,0.996668696,0.059353817
1440,96,128,96,64,350,0.0002,No,0,24.00851059,24.00850487,0.402234823,0.048767757,0.99618566,0.06351091
1440,128,96,96,64,350,0.0002,No,0,28.83036232,28.83036995,0.474202573,0.030791245,0.995419621,0.069597059
1440,128,128,96,64,350,0.0002,No,0,26.11124229,26.11123848,0.494022578,0.071174823,0.995851636,0.066233776
1440,64,64,64,32,100,0.0002,No,0,45.01401901,45.01399612,1.07015264,0.153146803,0.992848456,0.086964011
1440,64,64,64,32,150,0.0002,No,0,37.77377319,37.77377319,0.711730063,0.089457124,0.993998766,0.07966379
1440,64,64,64,32,200,0.0002,No,0,39.92596436,39.92597198,0.955342412,0.079939425,0.993656814,0.081901815
1440,64,64,64,32,250,0.0002,No,0,45.01224518,45.01222992,0.614010394,0.049462188,0.992848754,0.086962305
1440,64,64,64,32,300,0.0002,No,0,22.1499958,22.15000153,0.62229234,0.048353989,0.996480942,0.061003206
1440,64,64,64,64,100,0.0002,No,0,47.65100479,47.65101242,1.212491751,0.169705659,0.992429495,0.089475028
1440,64,64,64,64,150,0.0002,No,0,45.04068375,45.04070663,1.023977637,0.147818327,0.992844224,0.086989809
1440,64,64,64,64,200,0.0002,No,0,32.45559692,32.45558929,1.111326218,0.136152342,0.994843662,0.073843203
1440,64,64,64,64,250,0.0002,No,0,46.46896362,46.46892548,0.715401411,0.071962208,0.992617309,0.088358248
1440,64,64,64,64,300,0.0002,No,0,38.34958267,38.34959793,0.443594724,0.048768878,0.993907273,0.080268692
1440,64,64,96,32,100,0.0002,No,0,51.66837311,51.66839981,1.589967012,0.197029576,0.991791248,0.09317047
1440,64,64,96,32,150,0.0002,No,0,31.62132835,31.62132263,1.337399125,0.114019126,0.994976223,0.07288796
1440,64,64,96,32,200,0.0002,No,0,44.11771393,44.11769867,0.688137889,0.134503886,0.992990851,0.086093865
1440,64,64,96,32,250,0.0002,No,0,27.99767876,27.99768829,0.561625183,0.055116273,0.995551884,0.06858464
1440,64,64,96,32,300,0.0002,No,0,27.61562538,27.61561012,0.479621112,0.051318515,0.995612621,0.068115053
1440,64,64,96,64,100,0.0002,No,0,47.07575989,47.0757637,1.000654459,0.127452046,0.992520928,0.088933312
1440,64,64,96,64,150,0.0002,No,0,43.24208069,43.24207687,1.214313269,0.133461967,0.993129969,0.085235213
1440,64,64,96,64,200,0.0002,No,0,38.22172165,38.22172165,0.534041166,0.058328517,0.993927598,0.080134753
1440,64,64,96,64,250,0.0002,No,0,26.43156433,26.43156242,0.674541056,0.053382006,0.995800734,0.066638804
1440,64,64,96,64,300,0.0002,No,0,39.0525322,39.0525322,0.541148126,0.056412317,0.993795574,0.081001
1440,64,96,64,32,100,0.0002,No,0,45.41154861,45.41155243,1.075871468,0.177337408,0.992785335,0.087347193
1440,64,96,64,32,150,0.0002,No,0,47.92414474,47.92414093,0.865048349,0.13338837,0.992386103,0.089731091
1440,64,96,64,32,200,0.0002,No,0,43.11411285,43.11410904,0.928164601,0.120517664,0.993150294,0.085109
1440,64,96,64,32,250,0.0002,No,0,33.31903458,33.31903458,0.631484449,0.078363657,0.994706511,0.074819015
1440,64,96,64,32,300,0.0002,No,0,29.7211628,29.72114754,0.486538023,0.050710581,0.99527812,0.070664057
1440,64,96,64,64,100,0.0002,No,0,50.77797699,50.77797318,0.95614028,0.160664469,0.99193275,0.092364155
1440,64,96,64,64,150,0.0002,No,0,54.00571823,54.0057106,1.174066424,0.099505596,0.991419911,0.095254526
1440,64,96,64,64,200,0.0002,No,0,34.78887939,34.78888321,0.818485916,0.066664271,0.99447298,0.076451502
1440,64,96,64,64,250,0.0002,No,0,24.36824417,24.36825562,0.780932784,0.082466744,0.996128559,0.063984974
1440,64,96,64,64,300,0.0002,No,0,28.33449745,28.33449745,0.45915702,0.038934596,0.995498419,0.06899594
1440,64,96,96,32,100,0.0002,No,0,48.38153839,48.38152695,1.328957438,0.179133445,0.992313445,0.090158269
1440,64,96,96,32,150,0.0002,No,0,41.17513657,41.17512131,1.036020279,0.210135981,0.99345839,0.083173164
