Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Apart A,Otel,Baseline,1.429,2.984,3.4,4.0,24,432270.9
Apart A,Otel,S1,0.3,0.3,0.8,1.5,21,376301.3
Apart A,Otel,S2,0.3,0.3,0.8,1.5,22,402559.6
Apart A,Otel,S3,0.3,0.3,0.8,1.5,23,425852.06
Apart A,Otel,S4,0.3,0.3,0.8,2.0,21,367908.7
Apart A,Otel,S5,0.3,0.3,0.8,2.0,22,395092.72
Apart A,Otel,S6,0.3,0.3,0.8,2.0,23,417826.47
Apart A,Otel,S7,0.3,0.3,0.8,2.5,21,359528.78
Apart A,Otel,S8,0.3,0.3,0.8,2.5,22,387877.47
Apart A,Otel,S9,0.3,0.3,0.8,2.5,23,410374.4
Apart A,Otel,S10,0.3,0.3,1.0,1.5,21,383754.38
Apart A,Otel,S11,0.3,0.3,1.0,1.5,22,407949.25
Apart A,Otel,S12,0.3,0.3,1.0,1.5,23,434499.72
Apart A,Otel,S13,0.3,0.3,1.0,2.0,21,375607.47
Apart A,Otel,S14,0.3,0.3,1.0,2.0,22,400343.4
Apart A,Otel,S15,0.3,0.3,1.0,2.0,23,427066.62
Apart A,Otel,S16,0.3,0.3,1.0,2.5,21,368274.84
Apart A,Otel,S17,0.3,0.3,1.0,2.5,22,393672.88
Apart A,Otel,S18,0.3,0.3,1.0,2.5,23,419786.94
Apart A,Otel,S19,0.3,0.3,1.2,1.5,21,391878.25
Apart A,Otel,S20,0.3,0.3,1.2,1.5,22,416464.56
Apart A,Otel,S21,0.3,0.3,1.2,1.5,23,444134.2
Apart A,Otel,S22,0.3,0.3,1.2,2.0,21,385347.78
Apart A,Otel,S23,0.3,0.3,1.2,2.0,22,409387.9
Apart A,Otel,S24,0.3,0.3,1.2,2.0,23,436550.3
Apart A,Otel,S25,0.3,0.3,1.2,2.5,21,378473.84
Apart A,Otel,S26,0.3,0.3,1.2,2.5,22,402554.38
Apart A,Otel,S27,0.3,0.3,1.2,2.5,23,429071.25
Apart A,Otel,S28,0.3,0.7,0.8,1.5,21,394134.3
Apart A,Otel,S29,0.3,0.7,0.8,1.5,22,427400.8
Apart A,Otel,S30,0.3,0.7,0.8,1.5,23,446468.94
Apart A,Otel,S31,0.3,0.7,0.8,2.0,21,385090.72
Apart A,Otel,S32,0.3,0.7,0.8,2.0,22,417939.9
Apart A,Otel,S33,0.3,0.7,0.8,2.0,23,440193.38
Apart A,Otel,S34,0.3,0.7,0.8,2.5,21,376054.25
Apart A,Otel,S35,0.3,0.7,0.8,2.5,22,408802.75
Apart A,Otel,S36,0.3,0.7,0.8,2.5,23,434070.62
Apart A,Otel,S37,0.3,0.7,1.0,1.5,21,401325.94
Apart A,Otel,S38,0.3,0.7,1.0,1.5,22,431808.2
Apart A,Otel,S39,0.3,0.7,1.0,1.5,23,445546.22
Apart A,Otel,S40,0.3,0.7,1.0,2.0,21,392478.3
Apart A,Otel,S41,0.3,0.7,1.0,2.0,22,423807.4
Apart A,Otel,S42,0.3,0.7,1.0,2.0,23,439393.22
Apart A,Otel,S43,0.3,0.7,1.0,2.5,21,383634.9
Apart A,Otel,S44,0.3,0.7,1.0,2.5,22,415404.47
Apart A,Otel,S45,0.3,0.7,1.0,2.5,23,433367.44
Apart A,Otel,S46,0.3,0.7,1.2,1.5,21,407447.5
Apart A,Otel,S47,0.3,0.7,1.2,1.5,22,435639.72
Apart A,Otel,S48,0.3,0.7,1.2,1.5,23,445353.3
Apart A,Otel,S49,0.3,0.7,1.2,2.0,21,398702.2
Apart A,Otel,S50,0.3,0.7,1.2,2.0,22,427633.5
Apart A,Otel,S51,0.3,0.7,1.2,2.0,23,439089.12
Apart A,Otel,S52,0.3,0.7,1.2,2.5,21,390198.5
Apart A,Otel,S53,0.3,0.7,1.2,2.5,22,419768.47
Apart A,Otel,S54,0.3,0.7,1.2,2.5,23,433092.78
Apart A,Otel,S55,0.6,0.3,0.8,1.5,21,351824.53
Apart A,Otel,S56,0.6,0.3,0.8,1.5,22,377426.53
Apart A,Otel,S57,0.6,0.3,0.8,1.5,23,402514.88
Apart A,Otel,S58,0.6,0.3,0.8,2.0,21,343901.28
Apart A,Otel,S59,0.6,0.3,0.8,2.0,22,371356.34
Apart A,Otel,S60,0.6,0.3,0.8,2.0,23,395851.5
Apart A,Otel,S61,0.6,0.3,0.8,2.5,21,336474.88
Apart A,Otel,S62,0.6,0.3,0.8,2.5,22,365747.22
Apart A,Otel,S63,0.6,0.3,0.8,2.5,23,389462.94
Apart A,Otel,S64,0.6,0.3,1.0,1.5,21,360052.94
Apart A,Otel,S65,0.6,0.3,1.0,1.5,22,385839.06
Apart A,Otel,S66,0.6,0.3,1.0,1.5,23,411711.22
Apart A,Otel,S67,0.6,0.3,1.0,2.0,21,352937.56
Apart A,Otel,S68,0.6,0.3,1.0,2.0,22,379546.56
Apart A,Otel,S69,0.6,0.3,1.0,2.0,23,404781.88
Apart A,Otel,S70,0.6,0.3,1.0,2.5,21,346928.94
Apart A,Otel,S71,0.6,0.3,1.0,2.5,22,373490.66
Apart A,Otel,S72,0.6,0.3,1.0,2.5,23,398160.4
Apart A,Otel,S73,0.6,0.3,1.2,1.5,21,369882.03
Apart A,Otel,S74,0.6,0.3,1.2,1.5,22,394306.28
Apart A,Otel,S75,0.6,0.3,1.2,1.5,23,420882.25
Apart A,Otel,S76,0.6,0.3,1.2,2.0,21,364350.75
Apart A,Otel,S77,0.6,0.3,1.2,2.0,22,387668.6
Apart A,Otel,S78,0.6,0.3,1.2,2.0,23,413647.12
Apart A,Otel,S79,0.6,0.3,1.2,2.5,21,358211.3
Apart A,Otel,S80,0.6,0.3,1.2,2.5,22,381302.75
Apart A,Otel,S81,0.6,0.3,1.2,2.5,23,406644.22
Apart A,Otel,S82,0.6,0.7,0.8,1.5,21,366806.78
Apart A,Otel,S83,0.6,0.7,0.8,1.5,22,398068.1
Apart A,Otel,S84,0.6,0.7,0.8,1.5,23,418181.16
Apart A,Otel,S85,0.6,0.7,0.8,2.0,21,358183.38
Apart A,Otel,S86,0.6,0.7,0.8,2.0,22,389988.03
Apart A,Otel,S87,0.6,0.7,0.8,2.0,23,412434.38
Apart A,Otel,S88,0.6,0.7,0.8,2.5,21,349611.12
Apart A,Otel,S89,0.6,0.7,0.8,2.5,22,381984.6
Apart A,Otel,S90,0.6,0.7,0.8,2.5,23,405607.88
Apart A,Otel,S91,0.6,0.7,1.0,1.5,21,373437.0
Apart A,Otel,S92,0.6,0.7,1.0,1.5,22,401004.4
Apart A,Otel,S93,0.6,0.7,1.0,1.5,23,416684.56
Apart A,Otel,S94,0.6,0.7,1.0,2.0,21,364692.72
Apart A,Otel,S95,0.6,0.7,1.0,2.0,22,393835.1
Apart A,Otel,S96,0.6,0.7,1.0,2.0,23,411309.94
Apart A,Otel,S97,0.6,0.7,1.0,2.5,21,356306.0
Apart A,Otel,S98,0.6,0.7,1.0,2.5,22,387110.94
Apart A,Otel,S99,0.6,0.7,1.0,2.5,23,406549.34
Apart A,Otel,S100,0.6,0.7,1.2,1.5,21,379284.56
Apart A,Otel,S101,0.6,0.7,1.2,1.5,22,405182.38
Apart A,Otel,S102,0.6,0.7,1.2,1.5,23,419670.62
Apart A,Otel,S103,0.6,0.7,1.2,2.0,21,370593.94
Apart A,Otel,S104,0.6,0.7,1.2,2.0,22,398610.25
Apart A,Otel,S105,0.6,0.7,1.2,2.0,23,414649.2
Apart A,Otel,S106,0.6,0.7,1.2,2.5,21,362649.34
Apart A,Otel,S107,0.6,0.7,1.2,2.5,22,392328.66
Apart A,Otel,S108,0.6,0.7,1.2,2.5,23,409798.5
Apart A,Otel,S109,0.9,0.3,0.8,1.5,21,334789.38
