Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Apart B,Otel,Baseline,1.429,2.984,3.4,4.0,24,382390.6
Apart B,Otel,S1,0.3,0.3,0.8,1.5,21,400793.6
Apart B,Otel,S2,0.3,0.3,0.8,1.5,22,415607.78
Apart B,Otel,S3,0.3,0.3,0.8,1.5,23,430268.75
Apart B,Otel,S4,0.3,0.3,0.8,2.0,21,398853.6
Apart B,Otel,S5,0.3,0.3,0.8,2.0,22,413586.25
Apart B,Otel,S6,0.3,0.3,0.8,2.0,23,427688.22
Apart B,Otel,S7,0.3,0.3,0.8,2.5,21,396417.7
Apart B,Otel,S8,0.3,0.3,0.8,2.5,22,411605.7
Apart B,Otel,S9,0.3,0.3,0.8,2.5,23,425317.9
Apart B,Otel,S10,0.3,0.3,1.0,1.5,21,403466.0
Apart B,Otel,S11,0.3,0.3,1.0,1.5,22,417936.8
Apart B,Otel,S12,0.3,0.3,1.0,1.5,23,432307.06
Apart B,Otel,S13,0.3,0.3,1.0,2.0,21,402215.2
Apart B,Otel,S14,0.3,0.3,1.0,2.0,22,415855.8
Apart B,Otel,S15,0.3,0.3,1.0,2.0,23,429223.62
Apart B,Otel,S16,0.3,0.3,1.0,2.5,21,400368.44
Apart B,Otel,S17,0.3,0.3,1.0,2.5,22,413657.22
Apart B,Otel,S18,0.3,0.3,1.0,2.5,23,426731.12
Apart B,Otel,S19,0.3,0.3,1.2,1.5,21,407836.72
Apart B,Otel,S20,0.3,0.3,1.2,1.5,22,420032.06
Apart B,Otel,S21,0.3,0.3,1.2,1.5,23,434631.4
Apart B,Otel,S22,0.3,0.3,1.2,2.0,21,406359.97
Apart B,Otel,S23,0.3,0.3,1.2,2.0,22,417194.97
Apart B,Otel,S24,0.3,0.3,1.2,2.0,23,430959.9
Apart B,Otel,S25,0.3,0.3,1.2,2.5,21,404211.97
Apart B,Otel,S26,0.3,0.3,1.2,2.5,22,415308.0
Apart B,Otel,S27,0.3,0.3,1.2,2.5,23,427889.5
Apart B,Otel,S28,0.3,0.7,0.8,1.5,21,431807.75
Apart B,Otel,S29,0.3,0.7,0.8,1.5,22,449473.5
Apart B,Otel,S30,0.3,0.7,0.8,1.5,23,461194.3
Apart B,Otel,S31,0.3,0.7,0.8,2.0,21,428092.78
Apart B,Otel,S32,0.3,0.7,0.8,2.0,22,447029.66
Apart B,Otel,S33,0.3,0.7,0.8,2.0,23,459752.25
Apart B,Otel,S34,0.3,0.7,0.8,2.5,21,424623.12
Apart B,Otel,S35,0.3,0.7,0.8,2.5,22,444156.53
Apart B,Otel,S36,0.3,0.7,0.8,2.5,23,458966.6
Apart B,Otel,S37,0.3,0.7,1.0,1.5,21,434268.2
Apart B,Otel,S38,0.3,0.7,1.0,1.5,22,453684.66
Apart B,Otel,S39,0.3,0.7,1.0,1.5,23,460093.53
Apart B,Otel,S40,0.3,0.7,1.0,2.0,21,430451.12
Apart B,Otel,S41,0.3,0.7,1.0,2.0,22,450220.8
Apart B,Otel,S42,0.3,0.7,1.0,2.0,23,457948.66
Apart B,Otel,S43,0.3,0.7,1.0,2.5,21,426694.1
Apart B,Otel,S44,0.3,0.7,1.0,2.5,22,446529.56
Apart B,Otel,S45,0.3,0.7,1.0,2.5,23,456208.38
Apart B,Otel,S46,0.3,0.7,1.2,1.5,21,437023.75
Apart B,Otel,S47,0.3,0.7,1.2,1.5,22,456294.1
Apart B,Otel,S48,0.3,0.7,1.2,1.5,23,458266.2
Apart B,Otel,S49,0.3,0.7,1.2,2.0,21,432420.16
Apart B,Otel,S50,0.3,0.7,1.2,2.0,22,452048.88
Apart B,Otel,S51,0.3,0.7,1.2,2.0,23,456022.4
Apart B,Otel,S52,0.3,0.7,1.2,2.5,21,429901.5
Apart B,Otel,S53,0.3,0.7,1.2,2.5,22,447797.56
Apart B,Otel,S54,0.3,0.7,1.2,2.5,23,453770.88
Apart B,Otel,S55,0.6,0.3,0.8,1.5,21,379072.62
Apart B,Otel,S56,0.6,0.3,0.8,1.5,22,396304.0
Apart B,Otel,S57,0.6,0.3,0.8,1.5,23,411355.66
Apart B,Otel,S58,0.6,0.3,0.8,2.0,21,375702.12
Apart B,Otel,S59,0.6,0.3,0.8,2.0,22,393827.8
Apart B,Otel,S60,0.6,0.3,0.8,2.0,23,409224.22
Apart B,Otel,S61,0.6,0.3,0.8,2.5,21,372555.47
Apart B,Otel,S62,0.6,0.3,0.8,2.5,22,390883.3
Apart B,Otel,S63,0.6,0.3,0.8,2.5,23,406836.44
Apart B,Otel,S64,0.6,0.3,1.0,1.5,21,380695.47
Apart B,Otel,S65,0.6,0.3,1.0,1.5,22,398010.56
Apart B,Otel,S66,0.6,0.3,1.0,1.5,23,412837.66
Apart B,Otel,S67,0.6,0.3,1.0,2.0,21,377766.5
Apart B,Otel,S68,0.6,0.3,1.0,2.0,22,395432.06
Apart B,Otel,S69,0.6,0.3,1.0,2.0,23,410479.56
Apart B,Otel,S70,0.6,0.3,1.0,2.5,21,375365.7
