Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Çınar Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,453550.5
Çınar Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,429996.94
Çınar Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,454221.06
Çınar Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,482781.5
Çınar Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,427503.9
Çınar Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,452991.38
Çınar Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,480800.3
Çınar Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,423243.8
Çınar Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,448122.84
Çınar Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,478989.25
Çınar Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,435879.25
Çınar Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,456457.75
Çınar Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,484811.03
Çınar Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,435625.9
Çınar Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,454186.38
Çınar Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,483134.12
Çınar Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,432498.9
Çınar Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,451248.88
Çınar Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,480740.3
Çınar Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,445648.03
Çınar Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,462874.25
Çınar Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,486836.4
Çınar Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,445341.5
Çınar Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,461329.72
Çınar Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,485851.3
Çınar Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,444065.2
Çınar Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,459953.72
Çınar Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,484309.2
Çınar Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,441947.56
Çınar Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,461858.56
Çınar Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,483613.1
Çınar Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,440838.06
Çınar Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,460991.03
Çınar Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,481697.38
Çınar Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,436352.78
Çınar Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,459500.9
Çınar Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,479921.9
Çınar Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,444980.2
Çınar Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,465691.7
Çınar Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,487731.78
Çınar Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,444073.84
Çınar Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,464626.8
Çınar Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,485846.88
Çınar Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,444122.4
Çınar Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,462898.94
Çınar Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,484120.28
Çınar Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,450074.8
Çınar Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,467643.22
Çınar Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,491118.1
Çınar Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,450484.88
Çınar Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,465594.2
Çınar Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,489066.2
Çınar Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,450147.4
Çınar Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,463667.75
Çınar Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,487152.16
Çınar Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,417648.25
Çınar Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,440851.8
Çınar Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,470123.06
Çınar Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,413896.66
Çınar Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,436366.75
Çınar Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,464775.75
Çınar Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,410183.84
Çınar Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,431371.97
Çınar Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,458812.62
Çınar Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,422662.12
Çınar Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,449827.3
Çınar Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,477386.97
Çınar Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,418656.22
Çınar Sitesi,Huzurevi,S68,0.6,0.3,1.0,2.0,22,444599.94
Çınar Sitesi,Huzurevi,S69,0.6,0.3,1.0,2.0,23,473213.44
Çınar Sitesi,Huzurevi,S70,0.6,0.3,1.0,2.5,21,414528.44
Çınar Sitesi,Huzurevi,S71,0.6,0.3,1.0,2.5,22,438637.0
Çınar Sitesi,Huzurevi,S72,0.6,0.3,1.0,2.5,23,468177.3
Çınar Sitesi,Huzurevi,S73,0.6,0.3,1.2,1.5,21,427967.53
Çınar Sitesi,Huzurevi,S74,0.6,0.3,1.2,1.5,22,457391.72
Çınar Sitesi,Huzurevi,S75,0.6,0.3,1.2,1.5,23,480325.1
Çınar Sitesi,Huzurevi,S76,0.6,0.3,1.2,2.0,21,422398.75
Çınar Sitesi,Huzurevi,S77,0.6,0.3,1.2,2.0,22,451640.28
Çınar Sitesi,Huzurevi,S78,0.6,0.3,1.2,2.0,23,476994.25
Çınar Sitesi,Huzurevi,S79,0.6,0.3,1.2,2.5,21,416717.88
Çınar Sitesi,Huzurevi,S80,0.6,0.3,1.2,2.5,22,445916.75
Çınar Sitesi,Huzurevi,S81,0.6,0.3,1.2,2.5,23,472582.4
Çınar Sitesi,Huzurevi,S82,0.6,0.7,0.8,1.5,21,427885.72
Çınar Sitesi,Huzurevi,S83,0.6,0.7,0.8,1.5,22,449365.1
Çınar Sitesi,Huzurevi,S84,0.6,0.7,0.8,1.5,23,473554.44
Çınar Sitesi,Huzurevi,S85,0.6,0.7,0.8,2.0,21,424512.03
Çınar Sitesi,Huzurevi,S86,0.6,0.7,0.8,2.0,22,445548.7
Çınar Sitesi,Huzurevi,S87,0.6,0.7,0.8,2.0,23,468909.56
Çınar Sitesi,Huzurevi,S88,0.6,0.7,0.8,2.5,21,420615.25
Çınar Sitesi,Huzurevi,S89,0.6,0.7,0.8,2.5,22,441119.66
Çınar Sitesi,Huzurevi,S90,0.6,0.7,0.8,2.5,23,463797.84
Çınar Sitesi,Huzurevi,S91,0.6,0.7,1.0,1.5,21,430076.9
Çınar Sitesi,Huzurevi,S92,0.6,0.7,1.0,1.5,22,454945.75
Çınar Sitesi,Huzurevi,S93,0.6,0.7,1.0,1.5,23,479703.88
Çınar Sitesi,Huzurevi,S94,0.6,0.7,1.0,2.0,21,426241.7
Çınar Sitesi,Huzurevi,S95,0.6,0.7,1.0,2.0,22,450470.84
Çınar Sitesi,Huzurevi,S96,0.6,0.7,1.0,2.0,23,474940.94
Çınar Sitesi,Huzurevi,S97,0.6,0.7,1.0,2.5,21,422511.12
Çınar Sitesi,Huzurevi,S98,0.6,0.7,1.0,2.5,22,444957.94
Çınar Sitesi,Huzurevi,S99,0.6,0.7,1.0,2.5,23,469751.3
Çınar Sitesi,Huzurevi,S100,0.6,0.7,1.2,1.5,21,433455.25
Çınar Sitesi,Huzurevi,S101,0.6,0.7,1.2,1.5,22,461159.2
Çınar Sitesi,Huzurevi,S102,0.6,0.7,1.2,1.5,23,484903.53
Çınar Sitesi,Huzurevi,S103,0.6,0.7,1.2,2.0,21,429078.72
Çınar Sitesi,Huzurevi,S104,0.6,0.7,1.2,2.0,22,455193.4
Çınar Sitesi,Huzurevi,S105,0.6,0.7,1.2,2.0,23,481666.88
Çınar Sitesi,Huzurevi,S106,0.6,0.7,1.2,2.5,21,424012.3
Çınar Sitesi,Huzurevi,S107,0.6,0.7,1.2,2.5,22,449392.94
Çınar Sitesi,Huzurevi,S108,0.6,0.7,1.2,2.5,23,475675.97
Çınar Sitesi,Huzurevi,S109,0.9,0.3,0.8,1.5,21,405111.9
Çınar Sitesi,Huzurevi,S110,0.9,0.3,0.8,1.5,22,420659.4
Çınar Sitesi,Huzurevi,S111,0.9,0.3,0.8,1.5,23,434932.25
Çınar Sitesi,Huzurevi,S112,0.9,0.3,0.8,2.0,21,402255.78
Çınar Sitesi,Huzurevi,S113,0.9,0.3,0.8,2.0,22,418711.06
Çınar Sitesi,Huzurevi,S114,0.9,0.3,0.8,2.0,23,432244.75
Çınar Sitesi,Huzurevi,S115,0.9,0.3,0.8,2.5,21,399516.12
Çınar Sitesi,Huzurevi,S116,0.9,0.3,0.8,2.5,22,416145.34
Çınar Sitesi,Huzurevi,S117,0.9,0.3,0.8,2.5,23,429618.5
Çınar Sitesi,Huzurevi,S118,0.9,0.3,1.0,1.5,21,410385.25
Çınar Sitesi,Huzurevi,S119,0.9,0.3,1.0,1.5,22,425956.38
Çınar Sitesi,Huzurevi,S120,0.9,0.3,1.0,1.5,23,440413.7
Çınar Sitesi,Huzurevi,S121,0.9,0.3,1.0,2.0,21,407427.88
Çınar Sitesi,Huzurevi,S122,0.9,0.3,1.0,2.0,22,424132.3
Çınar Sitesi,Huzurevi,S123,0.9,0.3,1.0,2.0,23,437755.06
Çınar Sitesi,Huzurevi,S124,0.9,0.3,1.0,2.5,21,404544.44
Çınar Sitesi,Huzurevi,S125,0.9,0.3,1.0,2.5,22,420729.88
Çınar Sitesi,Huzurevi,S126,0.9,0.3,1.0,2.5,23,434934.94
Çınar Sitesi,Huzurevi,S127,0.9,0.3,1.2,1.5,21,411944.94
Çınar Sitesi,Huzurevi,S128,0.9,0.3,1.2,1.5,22,431254.53
Çınar Sitesi,Huzurevi,S129,0.9,0.3,1.2,1.5,23,443248.66
Çınar Sitesi,Huzurevi,S130,0.9,0.3,1.2,2.0,21,409079.2
Çınar Sitesi,Huzurevi,S131,0.9,0.3,1.2,2.0,22,427485.44
Çınar Sitesi,Huzurevi,S132,0.9,0.3,1.2,2.0,23,440473.62
Çınar Sitesi,Huzurevi,S133,0.9,0.3,1.2,2.5,21,405541.25
Çınar Sitesi,Huzurevi,S134,0.9,0.3,1.2,2.5,22,423618.28
Çınar Sitesi,Huzurevi,S135,0.9,0.3,1.2,2.5,23,437590.94
Çınar Sitesi,Huzurevi,S136,0.9,0.7,0.8,1.5,21,413858.06
Çınar Sitesi,Huzurevi,S137,0.9,0.7,0.8,1.5,22,432144.47
Çınar Sitesi,Huzurevi,S138,0.9,0.7,0.8,1.5,23,455834.56
Çınar Sitesi,Huzurevi,S139,0.9,0.7,0.8,2.0,21,410981.72
Çınar Sitesi,Huzurevi,S140,0.9,0.7,0.8,2.0,22,429302.7
Çınar Sitesi,Huzurevi,S141,0.9,0.7,0.8,2.0,23,451491.47
Çınar Sitesi,Huzurevi,S142,0.9,0.7,0.8,2.5,21,407637.5
Çınar Sitesi,Huzurevi,S143,0.9,0.7,0.8,2.5,22,425855.78
Çınar Sitesi,Huzurevi,S144,0.9,0.7,0.8,2.5,23,447324.88
Çınar Sitesi,Huzurevi,S145,0.9,0.7,1.0,1.5,21,414212.75
Çınar Sitesi,Huzurevi,S146,0.9,0.7,1.0,1.5,22,435528.3
Çınar Sitesi,Huzurevi,S147,0.9,0.7,1.0,1.5,23,460595.56
Çınar Sitesi,Huzurevi,S148,0.9,0.7,1.0,2.0,21,411901.34
Çınar Sitesi,Huzurevi,S149,0.9,0.7,1.0,2.0,22,431745.9
Çınar Sitesi,Huzurevi,S150,0.9,0.7,1.0,2.0,23,456071.56
Çınar Sitesi,Huzurevi,S151,0.9,0.7,1.0,2.5,21,409278.06
Çınar Sitesi,Huzurevi,S152,0.9,0.7,1.0,2.5,22,427576.3
Çınar Sitesi,Huzurevi,S153,0.9,0.7,1.0,2.5,23,451728.62
Çınar Sitesi,Huzurevi,S154,0.9,0.7,1.2,1.5,21,415123.28
Çınar Sitesi,Huzurevi,S155,0.9,0.7,1.2,1.5,22,439922.34
Çınar Sitesi,Huzurevi,S156,0.9,0.7,1.2,1.5,23,464330.2
Çınar Sitesi,Huzurevi,S157,0.9,0.7,1.2,2.0,21,412481.06
Çınar Sitesi,Huzurevi,S158,0.9,0.7,1.2,2.0,22,435643.66
Çınar Sitesi,Huzurevi,S159,0.9,0.7,1.2,2.0,23,459755.8
