Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Dolunay Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,445052.25
Dolunay Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,397686.06
Dolunay Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,400164.8
Dolunay Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,411980.47
Dolunay Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,397407.12
Dolunay Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,398533.3
Dolunay Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,410162.7
Dolunay Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,395898.78
Dolunay Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,397421.56
Dolunay Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,408630.9
Dolunay Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,399615.25
Dolunay Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,401928.38
Dolunay Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,410067.06
Dolunay Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,399536.88
Dolunay Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,400536.12
Dolunay Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,407974.0
Dolunay Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,399835.84
Dolunay Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,399484.06
Dolunay Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,406100.7
Dolunay Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,402382.84
Dolunay Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,405228.22
Dolunay Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,409972.06
Dolunay Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,402150.53
Dolunay Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,404165.06
Dolunay Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,408864.44
Dolunay Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,401170.03
Dolunay Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,403482.94
Dolunay Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,408143.47
Dolunay Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,404451.03
Dolunay Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,413268.94
Dolunay Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,429756.94
Dolunay Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,402266.88
Dolunay Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,411404.8
Dolunay Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,427821.5
Dolunay Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,400142.94
Dolunay Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,409270.44
Dolunay Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,426161.53
Dolunay Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,400796.75
Dolunay Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,409747.75
Dolunay Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,426754.72
Dolunay Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,398681.25
Dolunay Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,406538.88
Dolunay Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,424258.47
Dolunay Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,396721.75
Dolunay Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,403621.3
Dolunay Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,421895.3
Dolunay Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,401819.2
Dolunay Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,410879.6
Dolunay Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,424788.7
Dolunay Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,399381.7
Dolunay Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,408194.94
Dolunay Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,421804.88
Dolunay Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,397441.97
Dolunay Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,405710.97
Dolunay Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,419250.75
Dolunay Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,387432.16
Dolunay Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,399241.97
Dolunay Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,408255.88
Dolunay Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,382568.47
Dolunay Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,394317.2
