Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
El Sanatları,Sosyal Bina,Baseline,1.467,2.984,3.4,3.0,24,337395.2
El Sanatları,Sosyal Bina,S1,0.3,0.3,0.8,1.5,21,242860.31
El Sanatları,Sosyal Bina,S2,0.3,0.3,0.8,1.5,22,249883.39
El Sanatları,Sosyal Bina,S3,0.3,0.3,0.8,1.5,23,257824.88
El Sanatları,Sosyal Bina,S4,0.3,0.3,0.8,2.0,21,242115.8
El Sanatları,Sosyal Bina,S5,0.3,0.3,0.8,2.0,22,248806.95
El Sanatları,Sosyal Bina,S6,0.3,0.3,0.8,2.0,23,256441.42
El Sanatları,Sosyal Bina,S7,0.3,0.3,0.8,2.5,21,241689.0
El Sanatları,Sosyal Bina,S8,0.3,0.3,0.8,2.5,22,248061.92
El Sanatları,Sosyal Bina,S9,0.3,0.3,0.8,2.5,23,255383.1
El Sanatları,Sosyal Bina,S10,0.3,0.3,1.0,1.5,21,245974.11
El Sanatları,Sosyal Bina,S11,0.3,0.3,1.0,1.5,22,253415.72
El Sanatları,Sosyal Bina,S12,0.3,0.3,1.0,1.5,23,261374.84
El Sanatları,Sosyal Bina,S13,0.3,0.3,1.0,2.0,21,245214.16
El Sanatları,Sosyal Bina,S14,0.3,0.3,1.0,2.0,22,252343.42
El Sanatları,Sosyal Bina,S15,0.3,0.3,1.0,2.0,23,260008.05
El Sanatları,Sosyal Bina,S16,0.3,0.3,1.0,2.5,21,244796.97
El Sanatları,Sosyal Bina,S17,0.3,0.3,1.0,2.5,22,251601.31
El Sanatları,Sosyal Bina,S18,0.3,0.3,1.0,2.5,23,258962.6
El Sanatları,Sosyal Bina,S19,0.3,0.3,1.2,1.5,21,249305.98
El Sanatları,Sosyal Bina,S20,0.3,0.3,1.2,1.5,22,256920.2
El Sanatları,Sosyal Bina,S21,0.3,0.3,1.2,1.5,23,265141.12
El Sanatları,Sosyal Bina,S22,0.3,0.3,1.2,2.0,21,248547.36
El Sanatları,Sosyal Bina,S23,0.3,0.3,1.2,2.0,22,255845.62
El Sanatları,Sosyal Bina,S24,0.3,0.3,1.2,2.0,23,263768.88
El Sanatları,Sosyal Bina,S25,0.3,0.3,1.2,2.5,21,248110.14
El Sanatları,Sosyal Bina,S26,0.3,0.3,1.2,2.5,22,255094.66
El Sanatları,Sosyal Bina,S27,0.3,0.3,1.2,2.5,23,262755.56
El Sanatları,Sosyal Bina,S28,0.3,0.7,0.8,1.5,21,239754.8
El Sanatları,Sosyal Bina,S29,0.3,0.7,0.8,1.5,22,246190.6
El Sanatları,Sosyal Bina,S30,0.3,0.7,0.8,1.5,23,253794.16
El Sanatları,Sosyal Bina,S31,0.3,0.7,0.8,2.0,21,239242.58
El Sanatları,Sosyal Bina,S32,0.3,0.7,0.8,2.0,22,245323.56
El Sanatları,Sosyal Bina,S33,0.3,0.7,0.8,2.0,23,252604.48
El Sanatları,Sosyal Bina,S34,0.3,0.7,0.8,2.5,21,239091.33
El Sanatları,Sosyal Bina,S35,0.3,0.7,0.8,2.5,22,244808.45
El Sanatları,Sosyal Bina,S36,0.3,0.7,0.8,2.5,23,251769.55
El Sanatları,Sosyal Bina,S37,0.3,0.7,1.0,1.5,21,242666.33
El Sanatları,Sosyal Bina,S38,0.3,0.7,1.0,1.5,22,249538.28
El Sanatları,Sosyal Bina,S39,0.3,0.7,1.0,1.5,23,257194.14
El Sanatları,Sosyal Bina,S40,0.3,0.7,1.0,2.0,21,242148.2
El Sanatları,Sosyal Bina,S41,0.3,0.7,1.0,2.0,22,248678.42
El Sanatları,Sosyal Bina,S42,0.3,0.7,1.0,2.0,23,256004.16
El Sanatları,Sosyal Bina,S43,0.3,0.7,1.0,2.5,21,241956.05
El Sanatları,Sosyal Bina,S44,0.3,0.7,1.0,2.5,22,248152.5
El Sanatları,Sosyal Bina,S45,0.3,0.7,1.0,2.5,23,255139.53
El Sanatları,Sosyal Bina,S46,0.3,0.7,1.2,1.5,21,245809.95
El Sanatları,Sosyal Bina,S47,0.3,0.7,1.2,1.5,22,253079.44
El Sanatları,Sosyal Bina,S48,0.3,0.7,1.2,1.5,23,260855.84
El Sanatları,Sosyal Bina,S49,0.3,0.7,1.2,2.0,21,245291.02
El Sanatları,Sosyal Bina,S50,0.3,0.7,1.2,2.0,22,252219.73
El Sanatları,Sosyal Bina,S51,0.3,0.7,1.2,2.0,23,259675.1
El Sanatları,Sosyal Bina,S52,0.3,0.7,1.2,2.5,21,245088.5
El Sanatları,Sosyal Bina,S53,0.3,0.7,1.2,2.5,22,251695.58
El Sanatları,Sosyal Bina,S54,0.3,0.7,1.2,2.5,23,258809.14
El Sanatları,Sosyal Bina,S55,0.6,0.3,0.8,1.5,21,235857.2
