Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Fizik Tedavi,Saglik Merkezi,Baseline,1.134,2.984,3.2,3.0,24,574310.7
Fizik Tedavi,Saglik Merkezi,S1,0.3,0.3,0.8,1.5,21,419620.66
Fizik Tedavi,Saglik Merkezi,S2,0.3,0.3,0.8,1.5,22,435003.03
Fizik Tedavi,Saglik Merkezi,S3,0.3,0.3,0.8,1.5,23,457476.38
Fizik Tedavi,Saglik Merkezi,S4,0.3,0.3,0.8,2.0,21,419608.2
Fizik Tedavi,Saglik Merkezi,S5,0.3,0.3,0.8,2.0,22,433817.03
Fizik Tedavi,Saglik Merkezi,S6,0.3,0.3,0.8,2.0,23,454760.94
Fizik Tedavi,Saglik Merkezi,S7,0.3,0.3,0.8,2.5,21,419856.9
Fizik Tedavi,Saglik Merkezi,S8,0.3,0.3,0.8,2.5,22,433104.0
Fizik Tedavi,Saglik Merkezi,S9,0.3,0.3,0.8,2.5,23,452516.0
Fizik Tedavi,Saglik Merkezi,S10,0.3,0.3,1.0,1.5,21,423186.44
Fizik Tedavi,Saglik Merkezi,S11,0.3,0.3,1.0,1.5,22,440167.25
Fizik Tedavi,Saglik Merkezi,S12,0.3,0.3,1.0,1.5,23,463912.38
Fizik Tedavi,Saglik Merkezi,S13,0.3,0.3,1.0,2.0,21,423121.2
Fizik Tedavi,Saglik Merkezi,S14,0.3,0.3,1.0,2.0,22,438619.84
Fizik Tedavi,Saglik Merkezi,S15,0.3,0.3,1.0,2.0,23,461547.94
Fizik Tedavi,Saglik Merkezi,S16,0.3,0.3,1.0,2.5,21,423567.06
Fizik Tedavi,Saglik Merkezi,S17,0.3,0.3,1.0,2.5,22,437741.0
Fizik Tedavi,Saglik Merkezi,S18,0.3,0.3,1.0,2.5,23,459330.78
Fizik Tedavi,Saglik Merkezi,S19,0.3,0.3,1.2,1.5,21,427846.62
Fizik Tedavi,Saglik Merkezi,S20,0.3,0.3,1.2,1.5,22,446580.9
Fizik Tedavi,Saglik Merkezi,S21,0.3,0.3,1.2,1.5,23,470156.12
Fizik Tedavi,Saglik Merkezi,S22,0.3,0.3,1.2,2.0,21,427407.75
Fizik Tedavi,Saglik Merkezi,S23,0.3,0.3,1.2,2.0,22,444476.7
Fizik Tedavi,Saglik Merkezi,S24,0.3,0.3,1.2,2.0,23,467987.7
Fizik Tedavi,Saglik Merkezi,S25,0.3,0.3,1.2,2.5,21,427805.7
Fizik Tedavi,Saglik Merkezi,S26,0.3,0.3,1.2,2.5,22,443052.94
Fizik Tedavi,Saglik Merkezi,S27,0.3,0.3,1.2,2.5,23,465845.47
Fizik Tedavi,Saglik Merkezi,S28,0.3,0.7,0.8,1.5,21,425538.7
Fizik Tedavi,Saglik Merkezi,S29,0.3,0.7,0.8,1.5,22,441270.22
Fizik Tedavi,Saglik Merkezi,S30,0.3,0.7,0.8,1.5,23,464168.25
Fizik Tedavi,Saglik Merkezi,S31,0.3,0.7,0.8,2.0,21,425637.72
