Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Huzur Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,70593.125
Huzur Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,-11906.486
Huzur Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,-6807.54
Huzur Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,812.43964
Huzur Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,-14177.026
Huzur Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,-9638.307
Huzur Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,-1446.9001
Huzur Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,-16165.771
Huzur Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,-11387.665
Huzur Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,-3502.8943
Huzur Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,-24745.885
Huzur Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,-20294.01
Huzur Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,-14761.026
Huzur Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,-27304.04
Huzur Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,-22699.33
Huzur Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,-17615.4
Huzur Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,-29540.719
Huzur Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,-24830.49
Huzur Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,-19512.541
Huzur Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,-36910.535
Huzur Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,-32553.424
Huzur Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,-27765.254
Huzur Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,-39743.082
Huzur Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,-35242.77
Huzur Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,-29973.2
Huzur Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,-42179.227
Huzur Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,-37462.676
Huzur Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,-31700.8
Huzur Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,-11749.483
Huzur Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,-556.0098
Huzur Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,15388.28
Huzur Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,-13613.031
Huzur Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,-2238.8955
Huzur Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,12991.513
Huzur Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,-14280.068
Huzur Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,-3605.489
Huzur Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,11725.281
Huzur Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,-27614.623
Huzur Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,-21705.863
Huzur Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,-6433.164
Huzur Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,-28489.594
Huzur Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,-23089.55
Huzur Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,-9169.168
Huzur Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,-29094.582
Huzur Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,-23253.82
Huzur Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,-10318.261
Huzur Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,-41522.01
Huzur Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,-38084.117
Huzur Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,-25728.518
Huzur Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,-42473.17
Huzur Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,-40068.207
Huzur Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,-28553.275
Huzur Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,-43336.332
Huzur Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,-40526.457
Huzur Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,-30081.49
Huzur Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,25901.117
Huzur Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,29334.273
Huzur Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,32757.598
Huzur Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,27627.193
Huzur Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,30917.074
Huzur Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,32903.523
Huzur Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,29016.385
Huzur Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,32569.508
Huzur Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,32961.586
Huzur Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,11194.948
Huzur Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,14119.608
Huzur Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,19920.447
Huzur Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,12715.517
Huzur Sitesi,Huzurevi,S68,0.6,0.3,1.0,2.0,22,15891.883
Huzur Sitesi,Huzurevi,S69,0.6,0.3,1.0,2.0,23,21621.443
Huzur Sitesi,Huzurevi,S70,0.6,0.3,1.0,2.5,21,13560.733
Huzur Sitesi,Huzurevi,S71,0.6,0.3,1.0,2.5,22,17073.7
Huzur Sitesi,Huzurevi,S72,0.6,0.3,1.0,2.5,23,23719.27
Huzur Sitesi,Huzurevi,S73,0.6,0.3,1.2,1.5,21,-3403.5366
Huzur Sitesi,Huzurevi,S74,0.6,0.3,1.2,1.5,22,-580.81616
Huzur Sitesi,Huzurevi,S75,0.6,0.3,1.2,1.5,23,3138.6294
Huzur Sitesi,Huzurevi,S76,0.6,0.3,1.2,2.0,21,-2445.822
Huzur Sitesi,Huzurevi,S77,0.6,0.3,1.2,2.0,22,1314.9622
Huzur Sitesi,Huzurevi,S78,0.6,0.3,1.2,2.0,23,5457.514
Huzur Sitesi,Huzurevi,S79,0.6,0.3,1.2,2.5,21,-1232.5156
Huzur Sitesi,Huzurevi,S80,0.6,0.3,1.2,2.5,22,3024.0352
Huzur Sitesi,Huzurevi,S81,0.6,0.3,1.2,2.5,23,7325.175
Huzur Sitesi,Huzurevi,S82,0.6,0.7,0.8,1.5,21,30170.14
Huzur Sitesi,Huzurevi,S83,0.6,0.7,0.8,1.5,22,44482.703
Huzur Sitesi,Huzurevi,S84,0.6,0.7,0.8,1.5,23,46519.234
Huzur Sitesi,Huzurevi,S85,0.6,0.7,0.8,2.0,21,30965.354
Huzur Sitesi,Huzurevi,S86,0.6,0.7,0.8,2.0,22,43381.5
Huzur Sitesi,Huzurevi,S87,0.6,0.7,0.8,2.0,23,45230.05
Huzur Sitesi,Huzurevi,S88,0.6,0.7,0.8,2.5,21,32751.664
Huzur Sitesi,Huzurevi,S89,0.6,0.7,0.8,2.5,22,42686.406
Huzur Sitesi,Huzurevi,S90,0.6,0.7,0.8,2.5,23,44281.81
Huzur Sitesi,Huzurevi,S91,0.6,0.7,1.0,1.5,21,11266.451
Huzur Sitesi,Huzurevi,S92,0.6,0.7,1.0,1.5,22,21613.275
Huzur Sitesi,Huzurevi,S93,0.6,0.7,1.0,1.5,23,35637.438
Huzur Sitesi,Huzurevi,S94,0.6,0.7,1.0,2.0,21,12248.736
Huzur Sitesi,Huzurevi,S95,0.6,0.7,1.0,2.0,22,22752.176
