Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
İdari Bina A Blok,Ofis,Baseline,0.449,0.313,2.1,4.0,24,332294.78
İdari Bina A Blok,Ofis,S1,0.3,0.3,0.8,1.5,21,332028.94
İdari Bina A Blok,Ofis,S2,0.3,0.3,0.8,1.5,22,350168.9
İdari Bina A Blok,Ofis,S3,0.3,0.3,0.8,1.5,23,368581.7
İdari Bina A Blok,Ofis,S4,0.3,0.3,0.8,2.0,21,324191.5
İdari Bina A Blok,Ofis,S5,0.3,0.3,0.8,2.0,22,342419.62
İdari Bina A Blok,Ofis,S6,0.3,0.3,0.8,2.0,23,362057.22
İdari Bina A Blok,Ofis,S7,0.3,0.3,0.8,2.5,21,316420.0
İdari Bina A Blok,Ofis,S8,0.3,0.3,0.8,2.5,22,336104.6
İdari Bina A Blok,Ofis,S9,0.3,0.3,0.8,2.5,23,356518.88
İdari Bina A Blok,Ofis,S10,0.3,0.3,1.0,1.5,21,338843.88
İdari Bina A Blok,Ofis,S11,0.3,0.3,1.0,1.5,22,356306.06
İdari Bina A Blok,Ofis,S12,0.3,0.3,1.0,1.5,23,375020.94
İdari Bina A Blok,Ofis,S13,0.3,0.3,1.0,2.0,21,331237.47
İdari Bina A Blok,Ofis,S14,0.3,0.3,1.0,2.0,22,348557.0
İdari Bina A Blok,Ofis,S15,0.3,0.3,1.0,2.0,23,369098.22
İdari Bina A Blok,Ofis,S16,0.3,0.3,1.0,2.5,21,323566.44
İdari Bina A Blok,Ofis,S17,0.3,0.3,1.0,2.5,22,343078.2
İdari Bina A Blok,Ofis,S18,0.3,0.3,1.0,2.5,23,363519.56
İdari Bina A Blok,Ofis,S19,0.3,0.3,1.2,1.5,21,344176.88
İdari Bina A Blok,Ofis,S20,0.3,0.3,1.2,1.5,22,362522.47
İdari Bina A Blok,Ofis,S21,0.3,0.3,1.2,1.5,23,381888.66
İdari Bina A Blok,Ofis,S22,0.3,0.3,1.2,2.0,21,336522.56
İdari Bina A Blok,Ofis,S23,0.3,0.3,1.2,2.0,22,355229.4
İdari Bina A Blok,Ofis,S24,0.3,0.3,1.2,2.0,23,376237.66
İdari Bina A Blok,Ofis,S25,0.3,0.3,1.2,2.5,21,329648.4
İdari Bina A Blok,Ofis,S26,0.3,0.3,1.2,2.5,22,349615.56
İdari Bina A Blok,Ofis,S27,0.3,0.3,1.2,2.5,23,370613.66
İdari Bina A Blok,Ofis,S28,0.3,0.7,0.8,1.5,21,336449.12
İdari Bina A Blok,Ofis,S29,0.3,0.7,0.8,1.5,22,358246.25
İdari Bina A Blok,Ofis,S30,0.3,0.7,0.8,1.5,23,380210.12
İdari Bina A Blok,Ofis,S31,0.3,0.7,0.8,2.0,21,328535.38
İdari Bina A Blok,Ofis,S32,0.3,0.7,0.8,2.0,22,352001.56
İdari Bina A Blok,Ofis,S33,0.3,0.7,0.8,2.0,23,375156.03
İdari Bina A Blok,Ofis,S34,0.3,0.7,0.8,2.5,21,321796.47
İdari Bina A Blok,Ofis,S35,0.3,0.7,0.8,2.5,22,346514.66
İdari Bina A Blok,Ofis,S36,0.3,0.7,0.8,2.5,23,370134.97
İdari Bina A Blok,Ofis,S37,0.3,0.7,1.0,1.5,21,343170.47
İdari Bina A Blok,Ofis,S38,0.3,0.7,1.0,1.5,22,363824.6
İdari Bina A Blok,Ofis,S39,0.3,0.7,1.0,1.5,23,385101.6
İdari Bina A Blok,Ofis,S40,0.3,0.7,1.0,2.0,21,335448.1
İdari Bina A Blok,Ofis,S41,0.3,0.7,1.0,2.0,22,358542.62
İdari Bina A Blok,Ofis,S42,0.3,0.7,1.0,2.0,23,380082.2
İdari Bina A Blok,Ofis,S43,0.3,0.7,1.0,2.5,21,329762.3
İdari Bina A Blok,Ofis,S44,0.3,0.7,1.0,2.5,22,353610.3
İdari Bina A Blok,Ofis,S45,0.3,0.7,1.0,2.5,23,375090.06
İdari Bina A Blok,Ofis,S46,0.3,0.7,1.2,1.5,21,351585.97
İdari Bina A Blok,Ofis,S47,0.3,0.7,1.2,1.5,22,371479.34
İdari Bina A Blok,Ofis,S48,0.3,0.7,1.2,1.5,23,389132.12
İdari Bina A Blok,Ofis,S49,0.3,0.7,1.2,2.0,21,344390.28
İdari Bina A Blok,Ofis,S50,0.3,0.7,1.2,2.0,22,365789.16
İdari Bina A Blok,Ofis,S51,0.3,0.7,1.2,2.0,23,386322.28
İdari Bina A Blok,Ofis,S52,0.3,0.7,1.2,2.5,21,338122.0
İdari Bina A Blok,Ofis,S53,0.3,0.7,1.2,2.5,22,360127.72
İdari Bina A Blok,Ofis,S54,0.3,0.7,1.2,2.5,23,381279.8
İdari Bina A Blok,Ofis,S55,0.6,0.3,0.8,1.5,21,297029.88
İdari Bina A Blok,Ofis,S56,0.6,0.3,0.8,1.5,22,315135.3
İdari Bina A Blok,Ofis,S57,0.6,0.3,0.8,1.5,23,334308.6
İdari Bina A Blok,Ofis,S58,0.6,0.3,0.8,2.0,21,292534.4
İdari Bina A Blok,Ofis,S59,0.6,0.3,0.8,2.0,22,310570.6
İdari Bina A Blok,Ofis,S60,0.6,0.3,0.8,2.0,23,329399.44
İdari Bina A Blok,Ofis,S61,0.6,0.3,0.8,2.5,21,287996.66
İdari Bina A Blok,Ofis,S62,0.6,0.3,0.8,2.5,22,305958.84
İdari Bina A Blok,Ofis,S63,0.6,0.3,0.8,2.5,23,324595.03
İdari Bina A Blok,Ofis,S64,0.6,0.3,1.0,1.5,21,301858.03
İdari Bina A Blok,Ofis,S65,0.6,0.3,1.0,1.5,22,321142.53
İdari Bina A Blok,Ofis,S66,0.6,0.3,1.0,1.5,23,341521.6
İdari Bina A Blok,Ofis,S67,0.6,0.3,1.0,2.0,21,296358.25
İdari Bina A Blok,Ofis,S68,0.6,0.3,1.0,2.0,22,315514.0
İdari Bina A Blok,Ofis,S69,0.6,0.3,1.0,2.0,23,335736.66
İdari Bina A Blok,Ofis,S70,0.6,0.3,1.0,2.5,21,290794.47
İdari Bina A Blok,Ofis,S71,0.6,0.3,1.0,2.5,22,309937.0
İdari Bina A Blok,Ofis,S72,0.6,0.3,1.0,2.5,23,329981.94
İdari Bina A Blok,Ofis,S73,0.6,0.3,1.2,1.5,21,307817.9
İdari Bina A Blok,Ofis,S74,0.6,0.3,1.2,1.5,22,327720.8
İdari Bina A Blok,Ofis,S75,0.6,0.3,1.2,1.5,23,348271.34
İdari Bina A Blok,Ofis,S76,0.6,0.3,1.2,2.0,21,302197.0
İdari Bina A Blok,Ofis,S77,0.6,0.3,1.2,2.0,22,321947.88
