Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
İdari Bina B Blok,Ofis,Baseline,0.449,0.313,2.1,4.0,24,232179.56
İdari Bina B Blok,Ofis,S1,0.3,0.3,0.8,1.5,21,245729.58
İdari Bina B Blok,Ofis,S2,0.3,0.3,0.8,1.5,22,262713.22
İdari Bina B Blok,Ofis,S3,0.3,0.3,0.8,1.5,23,277136.0
İdari Bina B Blok,Ofis,S4,0.3,0.3,0.8,2.0,21,242799.84
İdari Bina B Blok,Ofis,S5,0.3,0.3,0.8,2.0,22,260251.03
İdari Bina B Blok,Ofis,S6,0.3,0.3,0.8,2.0,23,275074.3
İdari Bina B Blok,Ofis,S7,0.3,0.3,0.8,2.5,21,240285.36
İdari Bina B Blok,Ofis,S8,0.3,0.3,0.8,2.5,22,257901.34
İdari Bina B Blok,Ofis,S9,0.3,0.3,0.8,2.5,23,272833.78
İdari Bina B Blok,Ofis,S10,0.3,0.3,1.0,1.5,21,248966.17
İdari Bina B Blok,Ofis,S11,0.3,0.3,1.0,1.5,22,266378.47
İdari Bina B Blok,Ofis,S12,0.3,0.3,1.0,1.5,23,275439.38
İdari Bina B Blok,Ofis,S13,0.3,0.3,1.0,2.0,21,246823.95
İdari Bina B Blok,Ofis,S14,0.3,0.3,1.0,2.0,22,263667.1
İdari Bina B Blok,Ofis,S15,0.3,0.3,1.0,2.0,23,273723.22
İdari Bina B Blok,Ofis,S16,0.3,0.3,1.0,2.5,21,244491.19
İdari Bina B Blok,Ofis,S17,0.3,0.3,1.0,2.5,22,260960.6
İdari Bina B Blok,Ofis,S18,0.3,0.3,1.0,2.5,23,272241.0
İdari Bina B Blok,Ofis,S19,0.3,0.3,1.2,1.5,21,252520.72
İdari Bina B Blok,Ofis,S20,0.3,0.3,1.2,1.5,22,268407.38
İdari Bina B Blok,Ofis,S21,0.3,0.3,1.2,1.5,23,272243.56
İdari Bina B Blok,Ofis,S22,0.3,0.3,1.2,2.0,21,250141.64
İdari Bina B Blok,Ofis,S23,0.3,0.3,1.2,2.0,22,266280.66
İdari Bina B Blok,Ofis,S24,0.3,0.3,1.2,2.0,23,270731.38
İdari Bina B Blok,Ofis,S25,0.3,0.3,1.2,2.5,21,247797.97
İdari Bina B Blok,Ofis,S26,0.3,0.3,1.2,2.5,22,263474.8
İdari Bina B Blok,Ofis,S27,0.3,0.3,1.2,2.5,23,269265.44
İdari Bina B Blok,Ofis,S28,0.3,0.7,0.8,1.5,21,250996.36
İdari Bina B Blok,Ofis,S29,0.3,0.7,0.8,1.5,22,270653.7
İdari Bina B Blok,Ofis,S30,0.3,0.7,0.8,1.5,23,282648.0
İdari Bina B Blok,Ofis,S31,0.3,0.7,0.8,2.0,21,247254.78
İdari Bina B Blok,Ofis,S32,0.3,0.7,0.8,2.0,22,266732.6
İdari Bina B Blok,Ofis,S33,0.3,0.7,0.8,2.0,23,280244.5
İdari Bina B Blok,Ofis,S34,0.3,0.7,0.8,2.5,21,243904.1
İdari Bina B Blok,Ofis,S35,0.3,0.7,0.8,2.5,22,263091.53
İdari Bina B Blok,Ofis,S36,0.3,0.7,0.8,2.5,23,277861.38
İdari Bina B Blok,Ofis,S37,0.3,0.7,1.0,1.5,21,256089.69
İdari Bina B Blok,Ofis,S38,0.3,0.7,1.0,1.5,22,276007.94
İdari Bina B Blok,Ofis,S39,0.3,0.7,1.0,1.5,23,280951.84
İdari Bina B Blok,Ofis,S40,0.3,0.7,1.0,2.0,21,252452.12
İdari Bina B Blok,Ofis,S41,0.3,0.7,1.0,2.0,22,271958.78
İdari Bina B Blok,Ofis,S42,0.3,0.7,1.0,2.0,23,279073.3
İdari Bina B Blok,Ofis,S43,0.3,0.7,1.0,2.5,21,248847.5
İdari Bina B Blok,Ofis,S44,0.3,0.7,1.0,2.5,22,267870.3
İdari Bina B Blok,Ofis,S45,0.3,0.7,1.0,2.5,23,277132.53
İdari Bina B Blok,Ofis,S46,0.3,0.7,1.2,1.5,21,261286.03
İdari Bina B Blok,Ofis,S47,0.3,0.7,1.2,1.5,22,274611.88
