Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Kadın Sığınma Evi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,297507.3
Kadın Sığınma Evi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,427512.62
Kadın Sığınma Evi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,426332.88
Kadın Sığınma Evi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,431031.2
Kadın Sığınma Evi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,426710.75
Kadın Sığınma Evi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,430138.6
Kadın Sığınma Evi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,433352.78
Kadın Sığınma Evi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,424152.6
Kadın Sığınma Evi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,431212.6
Kadın Sığınma Evi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,436034.94
Kadın Sığınma Evi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,442512.75
Kadın Sığınma Evi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,443308.28
Kadın Sığınma Evi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,446540.75
Kadın Sığınma Evi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,440055.62
Kadın Sığınma Evi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,445784.88
Kadın Sığınma Evi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,448875.25
Kadın Sığınma Evi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,438305.1
Kadın Sığınma Evi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,445134.62
Kadın Sığınma Evi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,451560.03
Kadın Sığınma Evi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,459708.0
Kadın Sığınma Evi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,461435.94
Kadın Sığınma Evi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,465723.53
Kadın Sığınma Evi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,456595.72
Kadın Sığınma Evi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,461433.4
Kadın Sığınma Evi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,466649.25
Kadın Sığınma Evi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,455027.6
Kadın Sığınma Evi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,460945.28
Kadın Sığınma Evi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,465752.78
Kadın Sığınma Evi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,481088.9
Kadın Sığınma Evi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,461610.06
Kadın Sığınma Evi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,435932.75
Kadın Sığınma Evi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,477537.2
Kadın Sığınma Evi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,462871.5
Kadın Sığınma Evi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,436986.88
Kadın Sığınma Evi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,472669.34
Kadın Sığınma Evi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,459492.88
Kadın Sığınma Evi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,437591.7
Kadın Sığınma Evi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,495551.62
Kadın Sığınma Evi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,475115.62
Kadın Sığınma Evi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,447270.72
Kadın Sığınma Evi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,490163.5
Kadın Sığınma Evi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,471506.06
Kadın Sığınma Evi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,447555.03
Kadın Sığınma Evi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,484645.47
Kadın Sığınma Evi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,465326.53
Kadın Sığınma Evi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,447365.5
Kadın Sığınma Evi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,512009.44
Kadın Sığınma Evi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,483862.97
Kadın Sığınma Evi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,462257.7
Kadın Sığınma Evi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,504332.97
Kadın Sığınma Evi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,479046.25
Kadın Sığınma Evi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,461611.1
