Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Papatya Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,373091.66
Papatya Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,553624.5
Papatya Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,537296.44
Papatya Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,557081.56
Papatya Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,552755.06
Papatya Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,537685.4
Papatya Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,557238.4
Papatya Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,551259.4
Papatya Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,538272.94
Papatya Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,557178.8
Papatya Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,571865.1
Papatya Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,549365.4
Papatya Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,556341.0
Papatya Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,572126.4
Papatya Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,550159.5
Papatya Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,556437.3
Papatya Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,571820.25
Papatya Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,552540.94
Papatya Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,558936.6
Papatya Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,589953.56
Papatya Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,566184.2
Papatya Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,560294.25
Papatya Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,587912.56
Papatya Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,567020.9
Papatya Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,562598.4
Papatya Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,587867.75
Papatya Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,569365.06
Papatya Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,564801.8
Papatya Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,623882.4
Papatya Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,614306.25
Papatya Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,614616.9
Papatya Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,621497.8
Papatya Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,610992.75
Papatya Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,611128.25
Papatya Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,618230.94
Papatya Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,609704.8
Papatya Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,608739.4
Papatya Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,651188.5
Papatya Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,621667.56
Papatya Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,612904.25
Papatya Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,648452.5
Papatya Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,617035.56
Papatya Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,610723.94
Papatya Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,645635.6
Papatya Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,614801.5
Papatya Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,609195.56
Papatya Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,679532.06
Papatya Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,635542.5
Papatya Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,609757.75
Papatya Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,675714.3
Papatya Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,632405.6
Papatya Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,605309.5
Papatya Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,672197.44
Papatya Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,629999.5
Papatya Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,604949.8
Papatya Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,507866.3
Papatya Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,501766.94
Papatya Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,505954.94
Papatya Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,505359.84
Papatya Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,500494.0
Papatya Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,506652.16
Papatya Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,504532.6
Papatya Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,500002.9
Papatya Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,506318.28
Papatya Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,522485.7
Papatya Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,508972.06
Papatya Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,511866.7
Papatya Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,519376.8
Papatya Sitesi,Huzurevi,S68,0.6,0.3,1.0,2.0,22,509160.2
Papatya Sitesi,Huzurevi,S69,0.6,0.3,1.0,2.0,23,512683.75
Papatya Sitesi,Huzurevi,S70,0.6,0.3,1.0,2.5,21,516071.44
Papatya Sitesi,Huzurevi,S71,0.6,0.3,1.0,2.5,22,509963.2
Papatya Sitesi,Huzurevi,S72,0.6,0.3,1.0,2.5,23,513318.56
