Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Poliklinik,Saglik Merkezi,Baseline,1.134,2.984,3.2,3.0,24,728028.4
Poliklinik,Saglik Merkezi,S1,0.3,0.3,0.8,1.5,21,513894.94
Poliklinik,Saglik Merkezi,S2,0.3,0.3,0.8,1.5,22,537509.0
Poliklinik,Saglik Merkezi,S3,0.3,0.3,0.8,1.5,23,565678.56
Poliklinik,Saglik Merkezi,S4,0.3,0.3,0.8,2.0,21,516291.34
Poliklinik,Saglik Merkezi,S5,0.3,0.3,0.8,2.0,22,538225.94
Poliklinik,Saglik Merkezi,S6,0.3,0.3,0.8,2.0,23,563751.75
Poliklinik,Saglik Merkezi,S7,0.3,0.3,0.8,2.5,21,519422.03
Poliklinik,Saglik Merkezi,S8,0.3,0.3,0.8,2.5,22,540207.4
Poliklinik,Saglik Merkezi,S9,0.3,0.3,0.8,2.5,23,562630.56
Poliklinik,Saglik Merkezi,S10,0.3,0.3,1.0,1.5,21,517821.84
Poliklinik,Saglik Merkezi,S11,0.3,0.3,1.0,1.5,22,539943.7
Poliklinik,Saglik Merkezi,S12,0.3,0.3,1.0,1.5,23,569434.5
Poliklinik,Saglik Merkezi,S13,0.3,0.3,1.0,2.0,21,519805.94
Poliklinik,Saglik Merkezi,S14,0.3,0.3,1.0,2.0,22,539888.6
Poliklinik,Saglik Merkezi,S15,0.3,0.3,1.0,2.0,23,567115.06
Poliklinik,Saglik Merkezi,S16,0.3,0.3,1.0,2.5,21,522577.38
Poliklinik,Saglik Merkezi,S17,0.3,0.3,1.0,2.5,22,541078.75
Poliklinik,Saglik Merkezi,S18,0.3,0.3,1.0,2.5,23,565696.44
Poliklinik,Saglik Merkezi,S19,0.3,0.3,1.2,1.5,21,520125.0
Poliklinik,Saglik Merkezi,S20,0.3,0.3,1.2,1.5,22,541299.06
Poliklinik,Saglik Merkezi,S21,0.3,0.3,1.2,1.5,23,570959.0
Poliklinik,Saglik Merkezi,S22,0.3,0.3,1.2,2.0,21,522473.8
Poliklinik,Saglik Merkezi,S23,0.3,0.3,1.2,2.0,22,540552.06
Poliklinik,Saglik Merkezi,S24,0.3,0.3,1.2,2.0,23,568404.6
Poliklinik,Saglik Merkezi,S25,0.3,0.3,1.2,2.5,21,526099.9
Poliklinik,Saglik Merkezi,S26,0.3,0.3,1.2,2.5,22,540851.75
Poliklinik,Saglik Merkezi,S27,0.3,0.3,1.2,2.5,23,566671.25
Poliklinik,Saglik Merkezi,S28,0.3,0.7,0.8,1.5,21,513618.4
Poliklinik,Saglik Merkezi,S29,0.3,0.7,0.8,1.5,22,535884.06
Poliklinik,Saglik Merkezi,S30,0.3,0.7,0.8,1.5,23,564730.2
Poliklinik,Saglik Merkezi,S31,0.3,0.7,0.8,2.0,21,515729.38
Poliklinik,Saglik Merkezi,S32,0.3,0.7,0.8,2.0,22,536895.06
Poliklinik,Saglik Merkezi,S33,0.3,0.7,0.8,2.0,23,562497.25
Poliklinik,Saglik Merkezi,S34,0.3,0.7,0.8,2.5,21,519704.16
Poliklinik,Saglik Merkezi,S35,0.3,0.7,0.8,2.5,22,538927.25
Poliklinik,Saglik Merkezi,S36,0.3,0.7,0.8,2.5,23,561426.25
Poliklinik,Saglik Merkezi,S37,0.3,0.7,1.0,1.5,21,517417.12
Poliklinik,Saglik Merkezi,S38,0.3,0.7,1.0,1.5,22,538477.9
Poliklinik,Saglik Merkezi,S39,0.3,0.7,1.0,1.5,23,569103.0
Poliklinik,Saglik Merkezi,S40,0.3,0.7,1.0,2.0,21,519644.2
Poliklinik,Saglik Merkezi,S41,0.3,0.7,1.0,2.0,22,538032.06
Poliklinik,Saglik Merkezi,S42,0.3,0.7,1.0,2.0,23,566312.9
Poliklinik,Saglik Merkezi,S43,0.3,0.7,1.0,2.5,21,523430.3
Poliklinik,Saglik Merkezi,S44,0.3,0.7,1.0,2.5,22,539611.0
Poliklinik,Saglik Merkezi,S45,0.3,0.7,1.0,2.5,23,564561.8
Poliklinik,Saglik Merkezi,S46,0.3,0.7,1.2,1.5,21,520101.12
Poliklinik,Saglik Merkezi,S47,0.3,0.7,1.2,1.5,22,541822.9
Poliklinik,Saglik Merkezi,S48,0.3,0.7,1.2,1.5,23,573609.8
Poliklinik,Saglik Merkezi,S49,0.3,0.7,1.2,2.0,21,522748.22
Poliklinik,Saglik Merkezi,S50,0.3,0.7,1.2,2.0,22,540622.8
Poliklinik,Saglik Merkezi,S51,0.3,0.7,1.2,2.0,23,570766.44
Poliklinik,Saglik Merkezi,S52,0.3,0.7,1.2,2.5,21,526691.2
Poliklinik,Saglik Merkezi,S53,0.3,0.7,1.2,2.5,22,541653.6
Poliklinik,Saglik Merkezi,S54,0.3,0.7,1.2,2.5,23,568497.0
Poliklinik,Saglik Merkezi,S55,0.6,0.3,0.8,1.5,21,512143.9
Poliklinik,Saglik Merkezi,S56,0.6,0.3,0.8,1.5,22,537025.8
Poliklinik,Saglik Merkezi,S57,0.6,0.3,0.8,1.5,23,560022.7
Poliklinik,Saglik Merkezi,S58,0.6,0.3,0.8,2.0,21,515525.88
Poliklinik,Saglik Merkezi,S59,0.6,0.3,0.8,2.0,22,539218.75
