Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Şefkat Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,443275.78
Şefkat Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,301869.78
Şefkat Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,303962.8
Şefkat Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,306791.75
Şefkat Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,301449.53
Şefkat Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,303623.6
Şefkat Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,306495.53
Şefkat Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,301071.12
Şefkat Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,303339.88
Şefkat Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,306271.97
Şefkat Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,297853.5
Şefkat Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,300157.2
Şefkat Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,302958.38
Şefkat Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,297541.06
Şefkat Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,299957.78
Şefkat Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,302773.34
Şefkat Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,297279.6
Şefkat Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,299844.16
Şefkat Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,302672.7
Şefkat Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,294241.22
Şefkat Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,296670.2
Şefkat Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,299343.72
Şefkat Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,294166.12
Şefkat Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,296606.06
Şefkat Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,299291.78
Şefkat Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,294218.56
Şefkat Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,296620.16
Şefkat Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,299373.16
Şefkat Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,310845.72
Şefkat Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,312534.6
Şefkat Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,316444.56
Şefkat Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,310455.28
Şefkat Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,311632.4
Şefkat Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,315374.12
Şefkat Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,310450.16
Şefkat Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,310883.7
Şefkat Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,314382.5
Şefkat Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,305678.66
Şefkat Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,307336.72
Şefkat Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,310970.4
Şefkat Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,305258.88
Şefkat Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,306546.8
Şefkat Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,310034.84
Şefkat Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,304959.62
Şefkat Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,305895.03
Şefkat Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,309175.1
Şefkat Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,301239.22
Şefkat Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,302653.78
Şefkat Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,305852.94
Şefkat Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,300750.0
Şefkat Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,302004.44
Şefkat Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,305064.0
Şefkat Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,300410.47
Şefkat Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,301494.25
Şefkat Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,304360.53
Şefkat Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,317347.34
Şefkat Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,320003.06
Şefkat Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,324539.38
Şefkat Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,317333.72
Şefkat Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,320075.2
Şefkat Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,324564.03
Şefkat Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,317389.28
Şefkat Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,320237.3
Şefkat Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,324675.8
Şefkat Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,313892.4
Şefkat Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,316800.2
Şefkat Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,320979.78
Şefkat Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,314009.72
Şefkat Sitesi,Huzurevi,S68,0.6,0.3,1.0,2.0,22,317024.2
Şefkat Sitesi,Huzurevi,S69,0.6,0.3,1.0,2.0,23,321184.56
Şefkat Sitesi,Huzurevi,S70,0.6,0.3,1.0,2.5,21,314192.8
Şefkat Sitesi,Huzurevi,S71,0.6,0.3,1.0,2.5,22,317332.47
Şefkat Sitesi,Huzurevi,S72,0.6,0.3,1.0,2.5,23,321488.75
Şefkat Sitesi,Huzurevi,S73,0.6,0.3,1.2,1.5,21,310765.75
Şefkat Sitesi,Huzurevi,S74,0.6,0.3,1.2,1.5,22,313875.28
Şefkat Sitesi,Huzurevi,S75,0.6,0.3,1.2,1.5,23,317754.22
Şefkat Sitesi,Huzurevi,S76,0.6,0.3,1.2,2.0,21,311131.47
Şefkat Sitesi,Huzurevi,S77,0.6,0.3,1.2,2.0,22,314229.38
Şefkat Sitesi,Huzurevi,S78,0.6,0.3,1.2,2.0,23,318115.25
Şefkat Sitesi,Huzurevi,S79,0.6,0.3,1.2,2.5,21,311402.2
Şefkat Sitesi,Huzurevi,S80,0.6,0.3,1.2,2.5,22,314654.7
Şefkat Sitesi,Huzurevi,S81,0.6,0.3,1.2,2.5,23,318920.94
Şefkat Sitesi,Huzurevi,S82,0.6,0.7,0.8,1.5,21,325656.8
Şefkat Sitesi,Huzurevi,S83,0.6,0.7,0.8,1.5,22,329559.66
Şefkat Sitesi,Huzurevi,S84,0.6,0.7,0.8,1.5,23,333899.47
Şefkat Sitesi,Huzurevi,S85,0.6,0.7,0.8,2.0,21,324542.94
Şefkat Sitesi,Huzurevi,S86,0.6,0.7,0.8,2.0,22,328788.72
Şefkat Sitesi,Huzurevi,S87,0.6,0.7,0.8,2.0,23,333052.78
Şefkat Sitesi,Huzurevi,S88,0.6,0.7,0.8,2.5,21,323429.0
Şefkat Sitesi,Huzurevi,S89,0.6,0.7,0.8,2.5,22,327663.0
Şefkat Sitesi,Huzurevi,S90,0.6,0.7,0.8,2.5,23,332308.75
Şefkat Sitesi,Huzurevi,S91,0.6,0.7,1.0,1.5,21,321275.3
Şefkat Sitesi,Huzurevi,S92,0.6,0.7,1.0,1.5,22,324828.62
Şefkat Sitesi,Huzurevi,S93,0.6,0.7,1.0,1.5,23,329062.2
Şefkat Sitesi,Huzurevi,S94,0.6,0.7,1.0,2.0,21,320971.3
Şefkat Sitesi,Huzurevi,S95,0.6,0.7,1.0,2.0,22,324242.7
Şefkat Sitesi,Huzurevi,S96,0.6,0.7,1.0,2.0,23,328394.3
Şefkat Sitesi,Huzurevi,S97,0.6,0.7,1.0,2.5,21,320401.0
Şefkat Sitesi,Huzurevi,S98,0.6,0.7,1.0,2.5,22,323796.5
Şefkat Sitesi,Huzurevi,S99,0.6,0.7,1.0,2.5,23,327826.8
Şefkat Sitesi,Huzurevi,S100,0.6,0.7,1.2,1.5,21,317057.0
Şefkat Sitesi,Huzurevi,S101,0.6,0.7,1.2,1.5,22,320599.12
Şefkat Sitesi,Huzurevi,S102,0.6,0.7,1.2,1.5,23,324668.22
Şefkat Sitesi,Huzurevi,S103,0.6,0.7,1.2,2.0,21,317016.06
Şefkat Sitesi,Huzurevi,S104,0.6,0.7,1.2,2.0,22,320231.06
Şefkat Sitesi,Huzurevi,S105,0.6,0.7,1.2,2.0,23,324176.5
Şefkat Sitesi,Huzurevi,S106,0.6,0.7,1.2,2.5,21,316773.94
Şefkat Sitesi,Huzurevi,S107,0.6,0.7,1.2,2.5,22,319976.84
Şefkat Sitesi,Huzurevi,S108,0.6,0.7,1.2,2.5,23,323822.75
Şefkat Sitesi,Huzurevi,S109,0.9,0.3,0.8,1.5,21,339545.56
Şefkat Sitesi,Huzurevi,S110,0.9,0.3,0.8,1.5,22,344958.1
Şefkat Sitesi,Huzurevi,S111,0.9,0.3,0.8,1.5,23,351025.7
Şefkat Sitesi,Huzurevi,S112,0.9,0.3,0.8,2.0,21,339656.84
Şefkat Sitesi,Huzurevi,S113,0.9,0.3,0.8,2.0,22,345102.56
Şefkat Sitesi,Huzurevi,S114,0.9,0.3,0.8,2.0,23,351604.12
