Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Sevgi Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,537155.7
Sevgi Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,498352.75
Sevgi Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,493403.38
Sevgi Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,483426.94
Sevgi Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,492762.2
Sevgi Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,494885.3
Sevgi Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,485842.53
Sevgi Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,487176.84
Sevgi Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,496543.2
Sevgi Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,487845.66
Sevgi Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,498792.7
Sevgi Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,487146.7
Sevgi Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,476910.38
Sevgi Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,499703.72
Sevgi Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,488052.12
Sevgi Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,478157.66
Sevgi Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,494118.2
Sevgi Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,488813.47
Sevgi Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,479429.75
Sevgi Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,491580.03
Sevgi Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,479207.4
Sevgi Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,469361.6
Sevgi Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,492499.62
Sevgi Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,480793.75
Sevgi Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,472101.22
Sevgi Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,493462.1
Sevgi Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,481779.62
Sevgi Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,473574.97
Sevgi Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,516409.2
