Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Sinema Salonu,Sosyal Bina,Baseline,1.467,2.984,3.4,3.0,24,299968.6
Sinema Salonu,Sosyal Bina,S1,0.3,0.3,0.8,1.5,21,247049.81
Sinema Salonu,Sosyal Bina,S2,0.3,0.3,0.8,1.5,22,253886.77
Sinema Salonu,Sosyal Bina,S3,0.3,0.3,0.8,1.5,23,261048.6
Sinema Salonu,Sosyal Bina,S4,0.3,0.3,0.8,2.0,21,244601.78
Sinema Salonu,Sosyal Bina,S5,0.3,0.3,0.8,2.0,22,250962.5
Sinema Salonu,Sosyal Bina,S6,0.3,0.3,0.8,2.0,23,257512.12
Sinema Salonu,Sosyal Bina,S7,0.3,0.3,0.8,2.5,21,242750.14
Sinema Salonu,Sosyal Bina,S8,0.3,0.3,0.8,2.5,22,248458.44
Sinema Salonu,Sosyal Bina,S9,0.3,0.3,0.8,2.5,23,254419.36
Sinema Salonu,Sosyal Bina,S10,0.3,0.3,1.0,1.5,21,249486.44
Sinema Salonu,Sosyal Bina,S11,0.3,0.3,1.0,1.5,22,256130.7
Sinema Salonu,Sosyal Bina,S12,0.3,0.3,1.0,1.5,23,263338.97
Sinema Salonu,Sosyal Bina,S13,0.3,0.3,1.0,2.0,21,246941.33
Sinema Salonu,Sosyal Bina,S14,0.3,0.3,1.0,2.0,22,253116.12
Sinema Salonu,Sosyal Bina,S15,0.3,0.3,1.0,2.0,23,259678.12
Sinema Salonu,Sosyal Bina,S16,0.3,0.3,1.0,2.5,21,244927.8
Sinema Salonu,Sosyal Bina,S17,0.3,0.3,1.0,2.5,22,250543.89
Sinema Salonu,Sosyal Bina,S18,0.3,0.3,1.0,2.5,23,256480.67
Sinema Salonu,Sosyal Bina,S19,0.3,0.3,1.2,1.5,21,251818.48
Sinema Salonu,Sosyal Bina,S20,0.3,0.3,1.2,1.5,22,258408.44
Sinema Salonu,Sosyal Bina,S21,0.3,0.3,1.2,1.5,23,265750.3
Sinema Salonu,Sosyal Bina,S22,0.3,0.3,1.2,2.0,21,249196.84
Sinema Salonu,Sosyal Bina,S23,0.3,0.3,1.2,2.0,22,255300.64
Sinema Salonu,Sosyal Bina,S24,0.3,0.3,1.2,2.0,23,262000.9
Sinema Salonu,Sosyal Bina,S25,0.3,0.3,1.2,2.5,21,247077.6
Sinema Salonu,Sosyal Bina,S26,0.3,0.3,1.2,2.5,22,252663.16
Sinema Salonu,Sosyal Bina,S27,0.3,0.3,1.2,2.5,23,258713.8
Sinema Salonu,Sosyal Bina,S28,0.3,0.7,0.8,1.5,21,243475.67
Sinema Salonu,Sosyal Bina,S29,0.3,0.7,0.8,1.5,22,249493.62
Sinema Salonu,Sosyal Bina,S30,0.3,0.7,0.8,1.5,23,256157.61
Sinema Salonu,Sosyal Bina,S31,0.3,0.7,0.8,2.0,21,241615.8
Sinema Salonu,Sosyal Bina,S32,0.3,0.7,0.8,2.0,22,247122.17
Sinema Salonu,Sosyal Bina,S33,0.3,0.7,0.8,2.0,23,253169.34
Sinema Salonu,Sosyal Bina,S34,0.3,0.7,0.8,2.5,21,239993.75
Sinema Salonu,Sosyal Bina,S35,0.3,0.7,0.8,2.5,22,245246.86
Sinema Salonu,Sosyal Bina,S36,0.3,0.7,0.8,2.5,23,250611.12
Sinema Salonu,Sosyal Bina,S37,0.3,0.7,1.0,1.5,21,245801.03
Sinema Salonu,Sosyal Bina,S38,0.3,0.7,1.0,1.5,22,251663.89
Sinema Salonu,Sosyal Bina,S39,0.3,0.7,1.0,1.5,23,258326.33
Sinema Salonu,Sosyal Bina,S40,0.3,0.7,1.0,2.0,21,243870.2
Sinema Salonu,Sosyal Bina,S41,0.3,0.7,1.0,2.0,22,249179.12
Sinema Salonu,Sosyal Bina,S42,0.3,0.7,1.0,2.0,23,255245.62
Sinema Salonu,Sosyal Bina,S43,0.3,0.7,1.0,2.5,21,242217.06
Sinema Salonu,Sosyal Bina,S44,0.3,0.7,1.0,2.5,22,247296.12
Sinema Salonu,Sosyal Bina,S45,0.3,0.7,1.0,2.5,23,252619.52
Sinema Salonu,Sosyal Bina,S46,0.3,0.7,1.2,1.5,21,247960.03
Sinema Salonu,Sosyal Bina,S47,0.3,0.7,1.2,1.5,22,253894.23
Sinema Salonu,Sosyal Bina,S48,0.3,0.7,1.2,1.5,23,260500.12
Sinema Salonu,Sosyal Bina,S49,0.3,0.7,1.2,2.0,21,246003.55
Sinema Salonu,Sosyal Bina,S50,0.3,0.7,1.2,2.0,22,251258.14
Sinema Salonu,Sosyal Bina,S51,0.3,0.7,1.2,2.0,23,257318.95
Sinema Salonu,Sosyal Bina,S52,0.3,0.7,1.2,2.5,21,244279.97
Sinema Salonu,Sosyal Bina,S53,0.3,0.7,1.2,2.5,22,249354.5
Sinema Salonu,Sosyal Bina,S54,0.3,0.7,1.2,2.5,23,254622.94
Sinema Salonu,Sosyal Bina,S55,0.6,0.3,0.8,1.5,21,236297.73
Sinema Salonu,Sosyal Bina,S56,0.6,0.3,0.8,1.5,22,241656.86
Sinema Salonu,Sosyal Bina,S57,0.6,0.3,0.8,1.5,23,247080.44
Sinema Salonu,Sosyal Bina,S58,0.6,0.3,0.8,2.0,21,235086.39
Sinema Salonu,Sosyal Bina,S59,0.6,0.3,0.8,2.0,22,240086.38
Sinema Salonu,Sosyal Bina,S60,0.6,0.3,0.8,2.0,23,245273.95
Sinema Salonu,Sosyal Bina,S61,0.6,0.3,0.8,2.5,21,234157.64
Sinema Salonu,Sosyal Bina,S62,0.6,0.3,0.8,2.5,22,238856.56
Sinema Salonu,Sosyal Bina,S63,0.6,0.3,0.8,2.5,23,243767.12
Sinema Salonu,Sosyal Bina,S64,0.6,0.3,1.0,1.5,21,238423.38
Sinema Salonu,Sosyal Bina,S65,0.6,0.3,1.0,1.5,22,243949.44
Sinema Salonu,Sosyal Bina,S66,0.6,0.3,1.0,1.5,23,248928.9
Sinema Salonu,Sosyal Bina,S67,0.6,0.3,1.0,2.0,21,237182.72
Sinema Salonu,Sosyal Bina,S68,0.6,0.3,1.0,2.0,22,242373.31
Sinema Salonu,Sosyal Bina,S69,0.6,0.3,1.0,2.0,23,247135.22
Sinema Salonu,Sosyal Bina,S70,0.6,0.3,1.0,2.5,21,236248.8
Sinema Salonu,Sosyal Bina,S71,0.6,0.3,1.0,2.5,22,241124.78
Sinema Salonu,Sosyal Bina,S72,0.6,0.3,1.0,2.5,23,245659.28
Sinema Salonu,Sosyal Bina,S73,0.6,0.3,1.2,1.5,21,240661.7
Sinema Salonu,Sosyal Bina,S74,0.6,0.3,1.2,1.5,22,246007.98
Sinema Salonu,Sosyal Bina,S75,0.6,0.3,1.2,1.5,23,250725.38
Sinema Salonu,Sosyal Bina,S76,0.6,0.3,1.2,2.0,21,239407.16
Sinema Salonu,Sosyal Bina,S77,0.6,0.3,1.2,2.0,22,244449.38
Sinema Salonu,Sosyal Bina,S78,0.6,0.3,1.2,2.0,23,248940.1
Sinema Salonu,Sosyal Bina,S79,0.6,0.3,1.2,2.5,21,238476.08
Sinema Salonu,Sosyal Bina,S80,0.6,0.3,1.2,2.5,22,243229.5
Sinema Salonu,Sosyal Bina,S81,0.6,0.3,1.2,2.5,23,247515.7
Sinema Salonu,Sosyal Bina,S82,0.6,0.7,0.8,1.5,21,233733.28
Sinema Salonu,Sosyal Bina,S83,0.6,0.7,0.8,1.5,22,238737.52
Sinema Salonu,Sosyal Bina,S84,0.6,0.7,0.8,1.5,23,244276.22
Sinema Salonu,Sosyal Bina,S85,0.6,0.7,0.8,2.0,21,232769.7
Sinema Salonu,Sosyal Bina,S86,0.6,0.7,0.8,2.0,22,237412.42
Sinema Salonu,Sosyal Bina,S87,0.6,0.7,0.8,2.0,23,242630.0
Sinema Salonu,Sosyal Bina,S88,0.6,0.7,0.8,2.5,21,232107.22
Sinema Salonu,Sosyal Bina,S89,0.6,0.7,0.8,2.5,22,236421.33
Sinema Salonu,Sosyal Bina,S90,0.6,0.7,0.8,2.5,23,241305.86
Sinema Salonu,Sosyal Bina,S91,0.6,0.7,1.0,1.5,21,235772.47
Sinema Salonu,Sosyal Bina,S92,0.6,0.7,1.0,1.5,22,240857.78
Sinema Salonu,Sosyal Bina,S93,0.6,0.7,1.0,1.5,23,246018.16
Sinema Salonu,Sosyal Bina,S94,0.6,0.7,1.0,2.0,21,234758.23
Sinema Salonu,Sosyal Bina,S95,0.6,0.7,1.0,2.0,22,239584.97
Sinema Salonu,Sosyal Bina,S96,0.6,0.7,1.0,2.0,23,244458.77
Sinema Salonu,Sosyal Bina,S97,0.6,0.7,1.0,2.5,21,234093.7
Sinema Salonu,Sosyal Bina,S98,0.6,0.7,1.0,2.5,22,238629.73
Sinema Salonu,Sosyal Bina,S99,0.6,0.7,1.0,2.5,23,243236.52
