Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Spor Salonu,Spor Merkezi,Baseline,1.389,2.984,4.0,3.0,24,577030.5
Spor Salonu,Spor Merkezi,S1,0.3,0.3,0.8,1.5,21,639350.75
Spor Salonu,Spor Merkezi,S2,0.3,0.3,0.8,1.5,22,674273.0
Spor Salonu,Spor Merkezi,S3,0.3,0.3,0.8,1.5,23,695257.4
Spor Salonu,Spor Merkezi,S4,0.3,0.3,0.8,2.0,21,630064.8
Spor Salonu,Spor Merkezi,S5,0.3,0.3,0.8,2.0,22,664761.3
Spor Salonu,Spor Merkezi,S6,0.3,0.3,0.8,2.0,23,687867.8
Spor Salonu,Spor Merkezi,S7,0.3,0.3,0.8,2.5,21,621367.3
Spor Salonu,Spor Merkezi,S8,0.3,0.3,0.8,2.5,22,655820.06
Spor Salonu,Spor Merkezi,S9,0.3,0.3,0.8,2.5,23,680670.56
Spor Salonu,Spor Merkezi,S10,0.3,0.3,1.0,1.5,21,654120.25
Spor Salonu,Spor Merkezi,S11,0.3,0.3,1.0,1.5,22,686960.3
Spor Salonu,Spor Merkezi,S12,0.3,0.3,1.0,1.5,23,699929.94
Spor Salonu,Spor Merkezi,S13,0.3,0.3,1.0,2.0,21,644734.56
Spor Salonu,Spor Merkezi,S14,0.3,0.3,1.0,2.0,22,679227.25
Spor Salonu,Spor Merkezi,S15,0.3,0.3,1.0,2.0,23,693051.44
Spor Salonu,Spor Merkezi,S16,0.3,0.3,1.0,2.5,21,635766.7
Spor Salonu,Spor Merkezi,S17,0.3,0.3,1.0,2.5,22,671532.56
Spor Salonu,Spor Merkezi,S18,0.3,0.3,1.0,2.5,23,686135.44
Spor Salonu,Spor Merkezi,S19,0.3,0.3,1.2,1.5,21,670778.94
Spor Salonu,Spor Merkezi,S20,0.3,0.3,1.2,1.5,22,691460.56
Spor Salonu,Spor Merkezi,S21,0.3,0.3,1.2,1.5,23,703103.2
Spor Salonu,Spor Merkezi,S22,0.3,0.3,1.2,2.0,21,661001.75
Spor Salonu,Spor Merkezi,S23,0.3,0.3,1.2,2.0,22,684113.2
Spor Salonu,Spor Merkezi,S24,0.3,0.3,1.2,2.0,23,696080.2
Spor Salonu,Spor Merkezi,S25,0.3,0.3,1.2,2.5,21,651622.75
Spor Salonu,Spor Merkezi,S26,0.3,0.3,1.2,2.5,22,676940.94
Spor Salonu,Spor Merkezi,S27,0.3,0.3,1.2,2.5,23,689299.2
Spor Salonu,Spor Merkezi,S28,0.3,0.7,0.8,1.5,21,647287.06
Spor Salonu,Spor Merkezi,S29,0.3,0.7,0.8,1.5,22,682620.1
Spor Salonu,Spor Merkezi,S30,0.3,0.7,0.8,1.5,23,708569.25
Spor Salonu,Spor Merkezi,S31,0.3,0.7,0.8,2.0,21,637650.06
Spor Salonu,Spor Merkezi,S32,0.3,0.7,0.8,2.0,22,672145.5
Spor Salonu,Spor Merkezi,S33,0.3,0.7,0.8,2.0,23,699951.8
Spor Salonu,Spor Merkezi,S34,0.3,0.7,0.8,2.5,21,628401.06
Spor Salonu,Spor Merkezi,S35,0.3,0.7,0.8,2.5,22,661947.7
Spor Salonu,Spor Merkezi,S36,0.3,0.7,0.8,2.5,23,691301.7
Spor Salonu,Spor Merkezi,S37,0.3,0.7,1.0,1.5,21,661309.4
Spor Salonu,Spor Merkezi,S38,0.3,0.7,1.0,1.5,22,697473.5
