Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Umut Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,376031.47
Umut Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,260039.92
Umut Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,272883.1
Umut Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,282374.97
Umut Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,256282.55
Umut Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,269494.84
Umut Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,279037.7
Umut Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,252730.11
Umut Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,265522.12
Umut Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,276099.16
Umut Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,256367.53
Umut Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,268434.3
Umut Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,281324.66
Umut Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,252434.69
Umut Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,265055.22
Umut Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,277466.6
Umut Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,248586.94
Umut Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,261599.38
Umut Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,274240.66
Umut Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,252747.83
Umut Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,264689.03
Umut Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,276774.84
Umut Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,248837.03
Umut Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,260988.86
Umut Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,272413.03
Umut Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,244945.03
Umut Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,257315.44
Umut Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,269459.16
Umut Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,269979.2
Umut Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,280511.1
Umut Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,296573.62
Umut Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,269649.72
Umut Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,277298.2
Umut Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,292249.62
Umut Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,268848.75
Umut Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,274193.06
Umut Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,288479.28
Umut Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,271252.0
Umut Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,282460.25
Umut Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,296966.28
Umut Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,267833.53
Umut Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,279074.1
Umut Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,293402.7
Umut Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,264120.78
Umut Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,275787.25
Umut Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,289845.22
Umut Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,268926.8
Umut Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,282980.94
Umut Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,295801.03
Umut Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,264810.06
Umut Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,279364.94
Umut Sitesi,Huzurevi,S51,0.3,0.7,1.2,2.0,23,292418.25
Umut Sitesi,Huzurevi,S52,0.3,0.7,1.2,2.5,21,260818.12
Umut Sitesi,Huzurevi,S53,0.3,0.7,1.2,2.5,22,275482.7
Umut Sitesi,Huzurevi,S54,0.3,0.7,1.2,2.5,23,288915.56
Umut Sitesi,Huzurevi,S55,0.6,0.3,0.8,1.5,21,257222.39
Umut Sitesi,Huzurevi,S56,0.6,0.3,0.8,1.5,22,263317.38
Umut Sitesi,Huzurevi,S57,0.6,0.3,0.8,1.5,23,278655.78
Umut Sitesi,Huzurevi,S58,0.6,0.3,0.8,2.0,21,257551.66
Umut Sitesi,Huzurevi,S59,0.6,0.3,0.8,2.0,22,261345.45
Umut Sitesi,Huzurevi,S60,0.6,0.3,0.8,2.0,23,275321.2
Umut Sitesi,Huzurevi,S61,0.6,0.3,0.8,2.5,21,257957.84
Umut Sitesi,Huzurevi,S62,0.6,0.3,0.8,2.5,22,259433.75
Umut Sitesi,Huzurevi,S63,0.6,0.3,0.8,2.5,23,272192.44
Umut Sitesi,Huzurevi,S64,0.6,0.3,1.0,1.5,21,252448.36
Umut Sitesi,Huzurevi,S65,0.6,0.3,1.0,1.5,22,262349.75
Umut Sitesi,Huzurevi,S66,0.6,0.3,1.0,1.5,23,276705.9
Umut Sitesi,Huzurevi,S67,0.6,0.3,1.0,2.0,21,250675.1
