Building Name,Archetype,Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Annual Energy Consumption
Zümrüt Sitesi,Huzurevi,Baseline,1.475,2.984,3.062,5.0,24,475653.72
Zümrüt Sitesi,Huzurevi,S1,0.3,0.3,0.8,1.5,21,356107.28
Zümrüt Sitesi,Huzurevi,S2,0.3,0.3,0.8,1.5,22,369941.12
Zümrüt Sitesi,Huzurevi,S3,0.3,0.3,0.8,1.5,23,385390.9
Zümrüt Sitesi,Huzurevi,S4,0.3,0.3,0.8,2.0,21,352138.9
Zümrüt Sitesi,Huzurevi,S5,0.3,0.3,0.8,2.0,22,365762.97
Zümrüt Sitesi,Huzurevi,S6,0.3,0.3,0.8,2.0,23,380746.3
Zümrüt Sitesi,Huzurevi,S7,0.3,0.3,0.8,2.5,21,347131.53
Zümrüt Sitesi,Huzurevi,S8,0.3,0.3,0.8,2.5,22,361726.5
Zümrüt Sitesi,Huzurevi,S9,0.3,0.3,0.8,2.5,23,376624.88
Zümrüt Sitesi,Huzurevi,S10,0.3,0.3,1.0,1.5,21,358584.66
Zümrüt Sitesi,Huzurevi,S11,0.3,0.3,1.0,1.5,22,372887.62
Zümrüt Sitesi,Huzurevi,S12,0.3,0.3,1.0,1.5,23,386826.75
Zümrüt Sitesi,Huzurevi,S13,0.3,0.3,1.0,2.0,21,354608.16
Zümrüt Sitesi,Huzurevi,S14,0.3,0.3,1.0,2.0,22,369105.78
Zümrüt Sitesi,Huzurevi,S15,0.3,0.3,1.0,2.0,23,382344.66
Zümrüt Sitesi,Huzurevi,S16,0.3,0.3,1.0,2.5,21,350541.1
Zümrüt Sitesi,Huzurevi,S17,0.3,0.3,1.0,2.5,22,365114.7
Zümrüt Sitesi,Huzurevi,S18,0.3,0.3,1.0,2.5,23,378547.7
Zümrüt Sitesi,Huzurevi,S19,0.3,0.3,1.2,1.5,21,361250.3
Zümrüt Sitesi,Huzurevi,S20,0.3,0.3,1.2,1.5,22,374521.12
Zümrüt Sitesi,Huzurevi,S21,0.3,0.3,1.2,1.5,23,389146.25
Zümrüt Sitesi,Huzurevi,S22,0.3,0.3,1.2,2.0,21,357553.12
Zümrüt Sitesi,Huzurevi,S23,0.3,0.3,1.2,2.0,22,370985.8
Zümrüt Sitesi,Huzurevi,S24,0.3,0.3,1.2,2.0,23,385139.53
Zümrüt Sitesi,Huzurevi,S25,0.3,0.3,1.2,2.5,21,354277.38
Zümrüt Sitesi,Huzurevi,S26,0.3,0.3,1.2,2.5,22,368059.66
Zümrüt Sitesi,Huzurevi,S27,0.3,0.3,1.2,2.5,23,381708.06
Zümrüt Sitesi,Huzurevi,S28,0.3,0.7,0.8,1.5,21,374692.6
Zümrüt Sitesi,Huzurevi,S29,0.3,0.7,0.8,1.5,22,391366.38
Zümrüt Sitesi,Huzurevi,S30,0.3,0.7,0.8,1.5,23,408870.25
Zümrüt Sitesi,Huzurevi,S31,0.3,0.7,0.8,2.0,21,369091.6
Zümrüt Sitesi,Huzurevi,S32,0.3,0.7,0.8,2.0,22,386765.94
Zümrüt Sitesi,Huzurevi,S33,0.3,0.7,0.8,2.0,23,403740.06
Zümrüt Sitesi,Huzurevi,S34,0.3,0.7,0.8,2.5,21,363832.53
Zümrüt Sitesi,Huzurevi,S35,0.3,0.7,0.8,2.5,22,382794.88
Zümrüt Sitesi,Huzurevi,S36,0.3,0.7,0.8,2.5,23,398682.7
Zümrüt Sitesi,Huzurevi,S37,0.3,0.7,1.0,1.5,21,376364.97
Zümrüt Sitesi,Huzurevi,S38,0.3,0.7,1.0,1.5,22,391021.9
Zümrüt Sitesi,Huzurevi,S39,0.3,0.7,1.0,1.5,23,409412.56
Zümrüt Sitesi,Huzurevi,S40,0.3,0.7,1.0,2.0,21,371851.03
Zümrüt Sitesi,Huzurevi,S41,0.3,0.7,1.0,2.0,22,386412.12
Zümrüt Sitesi,Huzurevi,S42,0.3,0.7,1.0,2.0,23,404131.4
Zümrüt Sitesi,Huzurevi,S43,0.3,0.7,1.0,2.5,21,367126.94
Zümrüt Sitesi,Huzurevi,S44,0.3,0.7,1.0,2.5,22,382436.06
Zümrüt Sitesi,Huzurevi,S45,0.3,0.7,1.0,2.5,23,399109.34
Zümrüt Sitesi,Huzurevi,S46,0.3,0.7,1.2,1.5,21,376624.44
Zümrüt Sitesi,Huzurevi,S47,0.3,0.7,1.2,1.5,22,391567.25
Zümrüt Sitesi,Huzurevi,S48,0.3,0.7,1.2,1.5,23,410123.0
Zümrüt Sitesi,Huzurevi,S49,0.3,0.7,1.2,2.0,21,372998.0
Zümrüt Sitesi,Huzurevi,S50,0.3,0.7,1.2,2.0,22,386995.12
