Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Energy,Change (%)
S115,0.9,0.3,0.8,2.5,21,6699511.19,13.068366741641393
S112,0.9,0.3,0.8,2.0,21,6717510.703,12.83480834930964
S127,0.9,0.3,1.2,1.5,21,6719091.799999999,12.814292323490475
S130,0.9,0.3,1.2,2.0,21,6730193.082999999,12.670244103391415
S133,0.9,0.3,1.2,2.5,21,6730873.125000002,12.6614200026372
S109,0.9,0.3,0.8,1.5,21,6742080.522999998,12.515994853684482
S124,0.9,0.3,1.0,2.5,21,6747849.839999998,12.441133250297089
S121,0.9,0.3,1.0,2.0,21,6767256.358000002,12.189317818132988
S118,0.9,0.3,1.0,1.5,21,6767496.617000001,12.18620026124226
S131,0.9,0.3,1.2,2.0,22,6792017.906000001,11.868016495006875
S128,0.9,0.3,1.2,1.5,22,6793269.477000002,11.851776338362127
S134,0.9,0.3,1.2,2.5,22,6796126.546000001,11.814703532980074
S119,0.9,0.3,1.0,1.5,22,6817737.663999999,11.534281613977514
S122,0.9,0.3,1.0,2.0,22,6821756.430000002,11.482134840555469
S125,0.9,0.3,1.0,2.5,22,6825669.580000001,11.431358521054328
S110,0.9,0.3,0.8,1.5,22,6826420.424,11.421615706483088
S113,0.9,0.3,0.8,2.0,22,6831376.04,11.35731253861551
S116,0.9,0.3,0.8,2.5,22,6834263.493999999,11.319845463024539
S135,0.9,0.3,1.2,2.5,23,6876524.402999999,10.771475628545186
S132,0.9,0.3,1.2,2.0,23,6878533.939999998,10.745400243558333
S129,0.9,0.3,1.2,1.5,23,6882811.954,10.689889515450671
S70,0.6,0.3,1.0,2.5,21,6908621.103,10.354994713136243
S123,0.9,0.3,1.0,2.0,23,6911374.63,10.31926544982995
S126,0.9,0.3,1.0,2.5,23,6912228.244000001,10.308189110513876
S120,0.9,0.3,1.0,1.5,23,6915363.4,10.267507899023922
S79,0.6,0.3,1.2,2.5,21,6923708.794400002,10.15921958592129
S67,0.6,0.3,1.0,2.0,21,6926812.566999999,10.118945599696294
S76,0.6,0.3,1.2,2.0,21,6933694.018000002,10.029653148702172
S73,0.6,0.3,1.2,1.5,21,6942969.7134,9.909293419781585
